journal_queue_ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,7,4,13
8,0,0,0
9,0,5,2
10,24,0,17
11,8,6,21
12,10,3,6
13,1,1,0
14,0,16,3
15,19,20,13
16,0,3,3
17,20,16,24
18,7,8,7
19,2,15,7
20,0,3,0
21,12,0,6
22,21,11,4
23,24,24,7
24,10,7,4
25,0,3,16
26,17,2,8
27,0,1,29
28,7,5,10
29,18,7,12
30,23,13,3
31,20,16,6
32,12,3,1
33,16,9,19
34,29,10,4
35,1,2,16
36,9,5,10
37,0,0,0
38,1,13,11
39,16,26,18
40,16,7,12
41,0,0,8
42,11,18,0
43,0,15,15
44,4,1,14
45,8,8,5
46,2,0,0
47,29,1,0
48,0,2,22
49,8,13,15
50,0,5,0
51,12,0,12
52,10,12,2
53,10,0,21
54,10,5,5
55,9,13,22
56,17,28,5
57,20,0,19
58,13,14,0
59,24,0,3
60,7,8,18
61,22,3,18
62,4,0,6
63,1,1,0
64,0,12,2
65,23,17,1
66,7,8,30
67,13,18,13
68,0,0,3
69,0,15,4
70,22,21,1
71,3,28,2
72,0,1,16
73,15,10,16
74,10,23,18
75,0,0,18
76,5,1,21
77,26,8,19
78,0,0,21
79,0,0,38
80,0,9,9
81,17,20,0
82,10,13,0
83,12,26,0
84,12,6,6
85,13,9,6
86,17,17,14
87,7,12,1
88,12,2,1
89,27,0,10
90,8,20,18
91,19,4,8
92,3,4,8
93,17,3,1
94,11,11,0
95,16,19,24
96,5,0,2
97,0,10,3
98,3,11,8
99,18,17,16
100,4,21,9
101,9,9,4
102,2,1,9
103,12,10,22
104,5,2,6
105,6,1,4
106,3,11,0
107,0,3,3
108,15,5,20
109,4,3,10
110,21,10,0
111,9,12,10
112,13,10,21
113,0,4,2
114,13,2,1
115,25,15,0
116,25,17,16
117,0,1,13
118,7,0,18
119,0,2,25
120,18,11,8
121,3,3,8
122,2,10,1
123,25,16,19
124,16,19,24
125,12,16,8
126,1,16,1
127,5,4,1
128,27,17,24
129,7,8,0
130,11,27,13
131,3,14,7
132,14,19,17
133,22,0,17
134,0,0,17
135,0,3,28
136,11,19,19
137,20,19,23
138,13,8,28
139,6,13,0
140,0,20,30
141,18,2,8
142,32,7,4
143,0,5,10
144,1,8,2
145,8,7,12
146,24,22,13
147,8,10,4
148,1,5,0
149,21,3,1
150,11,19,26
151,11,5,7
152,0,8,12
153,0,18,0
154,15,22,7
155,0,21,25
156,1,0,0
157,28,6,11
158,11,19,20
159,9,4,13
160,20,17,26
161,11,1,0
162,23,13,21
163,5,18,8
164,10,5,6
165,14,0,10
166,6,21,4
167,28,18,13
168,6,6,4
169,1,2,0
170,21,0,0
171,19,8,19
172,24,4,11
173,1,7,7
174,5,20,20
175,23,15,25
176,22,6,9
177,22,24,5
178,18,5,24
179,6,3,1
180,15,27,10
181,12,0,21
182,12,0,3
183,0,11,27
184,10,9,14
185,29,11,12
186,0,12,5
187,1,1,22
188,7,4,1
189,13,3,6
190,9,0,0
191,19,4,1
192,0,22,26
193,0,19,0
194,6,0,14
195,14,13,24
196,25,15,26
197,5,0,7
198,5,3,6
199,10,2,3
200,0,8,0
201,5,6,22
202,25,18,21
203,1,5,0
204,24,13,11
205,26,13,9
206,0,11,25
207,7,22,3
208,17,25,12
209,12,8,11
210,7,0,0
211,0,3,24
212,7,19,18
213,16,19,17
214,18,21,18
215,3,19,27
216,19,6,0
217,20,12,7
218,10,4,8
219,7,0,2
220,21,8,0
221,3,11,19
222,6,14,3
223,16,5,9
224,30,4,0
225,16,15,16
226,9,19,8
227,3,7,11
228,17,19,6
229,20,4,16
230,4,0,1
231,8,10,13
232,20,0,0
233,15,16,10
234,13,0,0
235,16,23,23
236,0,19,0
237,10,2,0
238,17,19,17
239,2,6,10
240,2,0,0
241,0,8,26
242,19,18,12
243,4,15,24
244,3,1,2
245,24,15,11
246,19,8,20
247,10,7,0
248,26,15,7
249,5,15,23
250,19,9,7
251,3,17,21
252,3,3,29
253,12,22,11
254,11,17,4
255,3,14,19
256,12,6,9
257,22,3,0
258,19,11,21
259,35,0,0
260,10,23,13
261,5,0,0
262,11,0,13
263,24,3,4
264,3,2,3
265,0,0,10
266,24,18,12
267,5,16,14
268,4,8,2
269,21,3,7
270,12,12,18
271,4,5,3
272,6,1,10
273,7,6,1
274,0,7,0
275,4,13,14
276,13,7,12
277,4,8,9
278,5,6,0
279,9,6,10
280,4,1,3
281,7,8,9
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,Null,0,Null
