journal_wr,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,292,211,185
1,292,211,185
2,292,211,185
3,292,211,185
4,292,211,185
5,292,211,185
6,292,211,187
7,398,312,276
8,399,313,279
9,559,426,359
10,595,509,485
11,623,550,519
12,624,551,521
13,687,556,522
14,816,750,690
15,848,783,727
16,851,791,740
17,852,793,742
18,1033,989,899
19,1070,1028,933
20,1074,1031,937
21,1082,1035,940
22,1275,1217,1133
23,1298,1257,1162
24,1306,1267,1180
25,1316,1302,1182
26,1473,1452,1331
27,1497,1482,1357
28,1518,1500,1382
29,1522,1502,1384
30,1695,1664,1521
31,1720,1687,1557
32,1725,1698,1577
33,1731,1703,1582
34,1902,1857,1738
35,1939,1891,1783
36,1945,1898,1790
37,1988,1901,1792
38,2125,2061,1955
39,2165,2094,1975
40,2174,2109,2003
41,2175,2110,2005
42,2327,2264,2127
43,2369,2306,2173
44,2392,2331,2206
45,2392,2332,2207
46,2562,2419,2253
47,2598,2497,2376
48,2625,2535,2420
49,2626,2536,2422
50,2669,2572,2425
51,2807,2715,2583
52,2838,2763,2628
53,2845,2764,2632
54,2847,2765,2634
55,3024,2950,2807
56,3046,2989,2848
57,3066,3010,2866
58,3067,3011,2867
59,3248,3116,2968
60,3259,3199,3039
61,3301,3240,3082
62,3302,3241,3083
63,3347,3264,3095
64,3477,3405,3251
65,3503,3442,3274
66,3511,3456,3295
67,3513,3457,3297
68,3676,3578,3441
69,3704,3644,3478
70,3726,3675,3518
71,3728,3676,3521
72,3824,3732,3533
73,3926,3872,3721
74,3949,3906,3749
75,3949,3907,3749
76,3978,3918,3753
77,4130,4082,3909
78,4172,4117,3938
79,4172,4123,3939
80,4296,4201,3969
81,4350,4296,4102
82,4393,4339,4129
83,4405,4343,4150
84,4406,4345,4151
85,4573,4512,4274
86,4597,4548,4329
87,4615,4576,4365
88,4617,4577,4365
89,4783,4685,4421
90,4816,4754,4546
91,4845,4797,4594
92,4846,4798,4599
93,4920,4819,4617
94,5025,4990,4787
95,5057,5023,4825
96,5060,5027,4830
97,5107,5035,4831
98,5245,5211,4993
99,5295,5270,5064
100,5296,5271,5065
101,5300,5273,5067
102,5499,5455,5228
103,5523,5486,5268
104,5524,5487,5272
105,5553,5500,5276
106,5699,5655,5448
107,5730,5698,5491
108,5735,5698,5502
109,5738,5700,5503
110,5930,5863,5676
111,5964,5916,5716
112,5976,5917,5724
113,5980,5919,5727
114,6159,6122,5898
115,6176,6142,5928
116,6185,6148,5938
117,6188,6153,5939
118,6352,6307,6101
119,6376,6334,6122
120,6389,6355,6140
121,6391,6357,6140
122,6451,6395,6169
123,6538,6546,6337
124,6570,6588,6363
125,6574,6591,6384
126,6575,6591,6385
127,6742,6757,6498
128,6771,6784,6583
129,6788,6804,6606
130,6789,6804,6607
131,6866,6860,6627
132,6972,6990,6760
133,7005,7023,6794
134,7006,7023,6795
135,7016,7026,6796
136,7190,7182,6979
137,7219,7220,7019
138,7220,7221,7020
139,7232,7229,7023
140,7403,7386,7185
141,7456,7429,7221
142,7466,7448,7246
143,7468,7449,7246
144,7582,7497,7270
145,7673,7621,7436
146,7691,7647,7475
147,7695,7650,7479
148,7731,7656,7486
149,7885,7813,7649
150,7909,7849,7677
151,7912,7851,7681
152,7915,7853,7684
153,8101,8025,7848
154,8118,8049,7878
155,8138,8064,7893
156,8139,8066,7896
157,8303,8227,8038
158,8331,8250,8060
159,8341,8267,8089
160,8343,8268,8090
161,8485,8348,8156
162,8511,8449,8246
163,8541,8477,8286
164,8543,8479,8289
165,8572,8492,8292
166,8704,8639,8445
167,8727,8671,8481
168,8729,8673,8485
169,8832,8790,8525
170,8912,8848,8654
171,8938,8883,8697
172,8939,8885,8706
173,8977,8898,8717
174,9126,9075,8874
175,9151,9097,8898
176,9152,9099,8901
177,9156,9103,8905
178,9322,9261,9045
179,9371,9311,9080
180,9374,9317,9097
181,9380,9322,9099
182,9541,9466,9244
183,9570,9503,9256
184,9575,9509,9284
185,9577,9513,9287
186,9719,9647,9420
187,9782,9699,9479
188,9794,9711,9499
189,9795,9712,9500
190,9960,9852,9629
191,9996,9903,9668
192,10020,9933,9712
193,10020,9934,9713
194,10104,9988,9744
195,10209,10121,9879
196,10236,10153,9914
197,10241,10155,9917
198,10244,10162,9920
199,10376,10291,10034
200,10422,10356,10101
201,10438,10371,10123
202,10440,10373,10125
203,10629,10540,10281
204,10654,10569,10316
205,10693,10611,10357
206,10694,10613,10359
207,10851,10777,10463
208,10885,10811,10565
209,10899,10823,10582
210,10902,10825,10584
211,11040,10962,10715
212,11061,10988,10728
213,11103,11035,10775
214,11104,11035,10775
215,11151,11071,10813
216,11302,11217,10941
217,11348,11264,11003
218,11350,11266,11006
219,11529,11339,11023
220,11568,11437,11166
221,11595,11475,11208
222,11595,11475,11213
223,11600,11477,11214
224,11761,11671,11369
225,11799,11716,11398
226,11801,11717,11412
227,11804,11720,11413
228,11974,11885,11578
229,12021,11927,11636
230,12030,11942,11659
231,12033,11943,11660
232,12184,12055,11802
233,12197,12105,11813
234,12243,12150,11865
235,12244,12151,11866
236,12376,12252,12009
237,12452,12362,12063
238,12467,12383,12096
239,12469,12385,12097
240,12656,12562,12265
241,12682,12585,12286
242,12724,12626,12334
243,12725,12627,12340
244,12852,12679,12361
245,12903,12819,12527
246,12969,12878,12596
247,12970,12879,12602
248,12970,12880,12603
249,13155,13094,12785
250,13211,13134,12826
251,13213,13150,12842
252,13215,13152,12843
253,13397,13333,13005
254,13453,13374,13052
255,13460,13391,13077
256,13461,13393,13079
257,13629,13543,13222
258,13661,13581,13278
259,13687,13612,13306
260,13689,13613,13312
261,13844,13702,13388
262,13881,13804,13477
263,13898,13816,13503
264,13905,13829,13516
265,13957,13833,13518
266,14079,14039,13686
267,14152,14098,13753
268,14153,14103,13758
269,14208,14134,13774
270,14324,14285,13904
271,14367,14334,13954
272,14372,14344,13964
273,14374,14346,13967
274,14527,14508,14069
275,14547,14515,14114
276,14569,14541,14138
277,14571,14544,14141
278,14765,14737,14303
279,14815,14778,14335
