op_queue_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,44672,25528,102111
8,0,0,0
9,0,51056,19146
10,153161,0,134010
11,89345,70202,248886
12,153164,89348,38288
13,51054,6382,0
14,0,114876,19143
15,121256,127640,82960
16,0,76584,57434
17,127635,102112,172308
18,44671,51056,51053
19,12764,114876,44671
20,0,159550,0
21,82963,0,38291
22,134016,108494,51053
23,172310,153168,44673
24,178688,44674,114869
25,0,38292,108488
26,108492,114876,153157
27,89344,82966,185065
28,44673,31910,63816
29,114874,44674,76576
30,146783,82966,165923
31,146781,102112,57436
32,76581,31910,236115
33,102110,127640,121253
34,185071,114876,76578
35,89346,12764,102105
36,57437,31910,63817
37,0,0,0
38,6381,82966,114874
39,102106,165932,127634
40,102112,44674,185068
41,0,0,51053
42,70196,114876,51050
43,0,134022,197829
44,25528,6382,146777
45,51056,57438,31909
46,172308,25528,0
47,185072,146786,0
48,0,12764,146779
49,51056,89348,95723
50,0,89348,0
51,204218,0,121251
52,70199,140404,12763
53,63820,0,134014
54,127640,31910,165922
55,57436,89348,140394
56,108491,178696,31908
57,134017,0,121250
58,82964,89348,0
59,153165,0,44670
60,44672,82966,114872
61,159548,57438,134018
62,25528,89348,38289
63,89345,6382,0
64,0,76584,12762
65,146779,108494,6381
66,44674,51056,191448
67,127639,121258,82962
68,0,19146,19145
69,159546,146786,25527
70,140400,134022,89344
71,153164,185078,12763
72,0,12764,102111
73,216986,63820,102104
74,146781,146786,114872
75,0,0,114872
76,31908,19146,134012
77,178689,51056,134016
78,0,0,134014
79,0,0,319077
80,0,57438,127635
81,191455,127640,0
82,63819,82966,12763
83,76582,165932,0
84,76581,204224,38290
85,82963,57438,57434
86,108490,146786,153162
87,44672,82966,6382
88,76583,82966,6382
89,172310,12764,134018
90,82965,127640,114865
91,146777,95730,51051
92,19145,121258,204207
93,134018,57438,6382
94,108490,108494,0
95,108487,140404,153159
96,31908,0,204212
97,0,63820,223356
98,19146,121258,51055
99,185072,108494,118443
100,25528,140404,57432
101,57436,57438,25528
102,12763,76584,57435
103,82964,63820,140398
104,31909,12764,38290
105,82965,102112,25527
106,19146,70202,0
107,51056,19146,25527
108,108491,31910,153157
109,25526,19146,63817
110,137592,63820,0
111,57436,140404,63815
112,134018,140404,134016
113,0,25528,12764
114,95726,12764,6382
115,163126,95730,0
116,165929,114876,127636
117,19145,51056,185069
118,44673,63820,114869
119,114873,12764,165922
120,178693,159550,51052
121,19145,178696,51052
122,70199,108494,70198
123,159545,108494,146778
124,102110,197842,153163
125,82965,121258,70200
126,82965,121258,70200
127,31909,25528,51051
128,172310,108494,159541
129,51056,57438,0
130,70200,178696,82959
131,44672,134022,44671
132,92923,121258,108491
133,140400,0,108488
134,0,0,127633
135,6381,19146,178685
136,70198,121258,121249
137,137595,127640,146780
138,86541,51056,178687
139,121253,82966,0
140,0,127640,191446
141,114873,12764,51054
142,210597,172314,25527
143,127635,31910,63816
144,172310,95730,82959
145,57438,44674,76579
146,153164,140404,82963
147,140397,63820,89342
148,19145,140404,89344
149,140399,19146,6381
150,70198,121258,172309
151,76583,31910,57434
152,6381,51056,76580
153,0,127640,0
154,134017,159550,178688
155,0,140404,165921
156,6381,0,0
157,178689,38292,89343
158,153165,210606,131208
159,89344,229752,89344
160,134018,108494,165924
161,70198,6382,25526
162,146785,82966,134011
163,31909,216988,57436
164,95727,31910,121251
165,89346,0,63816
166,127635,134022,25526
167,178691,114876,82961
168,38292,38292,25527
169,108488,12764,95723
170,134018,0,0
171,134018,146786,121254
172,153162,38292,197835
