op_queue_ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,7,4,16
8,0,0,0
9,0,8,3
10,24,0,21
11,14,11,39
12,24,14,6
13,8,1,0
14,0,18,3
15,19,20,13
16,0,12,9
17,20,16,27
18,7,8,8
19,2,18,7
20,0,25,0
21,13,0,6
22,21,17,8
23,27,24,7
24,28,7,18
25,0,6,17
26,17,18,24
27,14,13,29
28,7,5,10
29,18,7,12
30,23,13,26
31,23,16,9
32,12,5,37
33,16,20,19
34,29,18,12
35,14,2,16
36,9,5,10
37,0,0,0
38,1,13,18
39,16,26,20
40,16,7,29
41,0,0,8
42,11,18,8
43,0,21,31
44,4,1,23
45,8,9,5
46,27,4,0
47,29,23,0
48,0,2,23
49,8,14,15
50,0,14,0
51,32,0,19
52,11,22,2
53,10,0,21
54,20,5,26
55,9,14,22
56,17,28,5
57,21,0,19
58,13,14,0
59,24,0,7
60,7,13,18
61,25,9,21
62,4,14,6
63,14,1,0
64,0,12,2
65,23,17,1
66,7,8,30
67,20,19,13
68,0,3,3
69,25,23,4
70,22,21,14
71,24,29,2
72,0,2,16
73,34,10,16
74,23,23,18
75,0,0,18
76,5,3,21
77,28,8,21
78,0,0,21
79,0,0,50
80,0,9,20
81,30,20,0
82,10,13,2
83,12,26,0
84,12,32,6
85,13,9,9
86,17,23,24
87,7,13,1
88,12,13,1
89,27,2,21
90,13,20,18
91,23,15,8
92,3,19,32
93,21,9,1
94,17,17,0
95,17,22,24
96,5,0,32
97,0,10,35
98,3,19,8
99,29,17,18
100,4,22,9
101,9,9,4
102,2,12,9
103,13,10,22
104,5,2,6
105,13,16,4
106,3,11,0
107,8,3,4
108,17,5,24
109,4,3,10
110,21,10,0
111,9,22,10
112,21,22,21
113,0,4,2
114,15,2,1
115,25,15,0
116,26,18,20
117,3,8,29
118,7,10,18
119,18,2,26
120,28,25,8
121,3,28,8
122,11,17,11
123,25,17,23
124,16,31,24
125,13,19,11
126,13,19,11
127,5,4,8
128,27,17,25
129,8,9,0
130,11,28,13
131,7,21,7
132,14,19,17
133,22,0,17
134,0,0,20
135,1,3,28
136,11,19,19
137,21,20,23
138,13,8,28
139,19,13,0
140,0,20,30
141,18,2,8
142,33,27,4
143,20,5,10
144,27,15,13
145,9,7,12
146,24,22,13
147,22,10,14
148,3,22,14
149,22,3,1
150,11,19,27
151,12,5,9
152,1,8,12
153,0,20,0
154,21,25,28
155,0,22,26
156,1,0,0
157,28,6,14
158,24,33,20
159,14,36,14
160,21,17,26
161,11,1,4
162,23,13,21
163,5,34,9
164,15,5,19
165,14,0,10
166,20,21,4
167,28,18,13
168,6,6,4
169,17,2,15
170,21,0,0
171,21,23,19
172,24,6,31
173,2,7,25
174,5,20,24
175,23,15,25
176,22,21,9
177,22,24,5
178,18,5,25
179,13,3,1
180,26,28,10
181,12,0,21
182,12,15,3
183,0,11,27
184,10,23,14
185,29,11,29
186,0,12,20
187,1,4,22
188,27,22,21
189,34,3,27
190,14,0,1
191,19,5,1
192,0,22,26
193,0,23,0
194,17,6,14
195,14,13,24
196,25,16,26
197,12,0,7
198,5,3,7
199,12,8,3
200,0,8,0
201,5,6,22
202,25,18,21
203,21,5,26
204,24,17,35
205,26,22,9
206,0,13,25
207,7,22,3
208,18,25,12
209,36,17,11
210,14,0,0
211,0,26,24
212,7,19,18
213,16,25,17
214,19,27,18
215,20,19,27
216,19,6,0
217,20,12,7
218,10,4,31
219,7,0,21
220,23,8,0
221,3,11,19
222,6,14,32
223,34,21,9
224,30,8,0
225,30,15,16
226,9,20,25
227,3,7,33
228,17,19,6
229,23,4,16
230,23,0,29
231,12,10,13
232,20,8,0
233,28,38,10
234,13,0,0
235,18,23,23
236,0,19,16
237,17,2,1
238,17,19,17
239,2,6,23
240,2,0,6
241,0,8,26
242,19,19,12
243,19,19,26
244,11,22,15
245,24,15,24
246,19,8,20
247,19,8,0
248,35,15,7
249,5,15,23
250,19,9,19
251,3,18,21
252,3,3,30
253,12,25,17
254,17,17,21
255,3,16,19
256,13,6,9
257,22,3,9
258,19,16,36
259,37,0,27
260,10,23,17
261,6,0,0
262,19,0,15
263,24,3,20
264,3,22,29
265,0,9,11
266,24,19,13
267,13,16,14
268,4,8,5
269,21,3,12
270,12,12,18
271,4,5,9
272,6,1,20
273,7,6,1
274,0,16,0
275,4,13,14
276,13,7,12
277,17,12,9
278,5,6,6
279,9,25,24
280,21,1,35
281,12,8,9
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,Null,0,Null
