ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,1150,785,607
1,1150,785,607
2,1150,785,607
3,1150,785,607
4,1150,785,607
5,1150,785,607
6,1150,785,609
7,1496,1104,964
8,1503,1108,984
9,2042,1425,1192
10,2300,1740,1679
11,2439,1921,1899
12,2439,1921,1938
13,2635,1942,1946
14,3071,2464,2553
15,3259,2635,2731
16,3294,2703,2802
17,3294,2716,2811
18,3864,3276,3389
19,4067,3417,3597
20,4079,3417,3628
21,4093,3451,3639
22,4662,3935,4192
23,4804,4114,4354
24,4867,4182,4464
25,4952,4292,4482
26,5398,4642,4977
27,5610,4825,5169
28,5717,4966,5323
29,5736,4971,5333
30,6372,5528,5769
31,6496,5640,6013
32,6526,5710,6089
33,6556,5721,6137
34,7136,6230,6685
35,7360,6411,6907
36,7408,6447,6962
37,7519,6454,6974
38,8003,6921,7525
39,8183,7090,7629
40,8245,7170,7763
41,8261,7178,7792
42,8833,7622,8255
43,9030,7819,8483
44,9156,7932,8663
45,9156,7932,8686
46,9669,8253,8862
47,9869,8571,9323
48,10034,8760,9537
49,10034,8760,9565
50,10166,8883,9594
51,10691,9322,10151
52,10894,9584,10419
53,10949,9606,10441
54,10949,9606,10441
55,11620,10096,10982
56,11754,10304,11204
57,11868,10431,11311
58,11889,10431,11330
59,12492,10740,11680
60,12579,11036,11936
61,12751,11218,12200
62,12776,11218,12221
63,12920,11298,12260
64,13424,11704,12835
65,13627,11914,12977
66,13691,12005,13107
67,13691,12005,13137
68,14256,12387,13633
69,14432,12647,13844
70,14576,12824,14038
71,14577,12824,14073
72,14927,13021,14105
73,15263,13474,14762
74,15449,13635,14956
75,15472,13658,14956
76,15590,13705,14979
77,16064,14220,15531
78,16236,14348,15714
79,16236,14356,15714
80,16604,14587,15884
81,16848,14924,16419
82,17068,15137,16559
83,17096,15171,16688
84,17108,15171,16688
85,17662,15672,17055
86,17871,15853,17319
87,18007,15992,17571
88,18014,15992,17571
89,18580,16334,17734
90,18771,16580,18175
91,18936,16775,18431
92,18959,16775,18439
93,19203,16843,18510
94,19594,17341,19062
95,19809,17510,19275
96,19829,17550,19299
97,20022,17581,19299
98,20509,18050,19889
99,20703,18341,20229
100,20732,18341,20247
101,20739,18365,20260
102,21386,18935,20804
103,21511,19104,21015
104,21524,19114,21048
105,21650,19164,21070
106,22217,19671,21610
107,22404,19875,21818
108,22424,19875,21870
109,22454,19892,21894
110,23110,20411,22440
111,23316,20703,22690
112,23346,20703,22723
113,23371,20727,22747
114,23988,21292,23338
115,24092,21379,23494
116,24146,21413,23535
117,24178,21437,23539
118,24781,21883,24136
119,24920,22048,24265
120,25012,22155,24419
121,25040,22155,24419
122,25290,22290,24540
123,25709,22736,25083
124,25912,22973,25253
125,25931,23004,25354
126,25931,23004,25354
127,26449,23541,25685
128,26674,23714,26099
129,26788,23801,26253
130,26796,23801,26253
131,27049,23978,26354
132,27448,24408,26909
133,27615,24581,27106
134,27637,24581,27106
135,27694,24597,27126
136,28331,25174,27751
137,28471,25379,27992
138,28492,25399,27993
139,28531,25426,28025
140,29114,25922,28545
141,29327,26121,28764
142,29370,26185,28907
143,29412,26212,28907
144,29724,26357,28993
145,30142,26768,29543
146,30220,26886,29693
147,30245,26925,29706
148,30424,26938,29767
149,30933,27481,30343
150,31110,27653,30517
151,31124,27675,30560
152,31151,27688,30579
153,31879,28259,31210
154,31923,28382,31356
155,32002,28449,31451
156,32002,28473,31482
157,32543,28952,31930
158,32717,29072,32074
159,32790,29182,32256
160,32804,29218,32270
161,33382,29534,32605
162,33534,29864,32900
163,33717,29972,33096
164,33717,30006,33105
165,33834,30041,33126
166,34400,30574,33727
167,34613,30811,33936
168,34641,30829,33967
169,34990,31193,34108
170,35320,31401,34576
171,35495,31585,34814
172,35509,31608,34835
173,35673,31665,34893
174,36211,32193,35499
175,36355,32321,35671
176,36356,32321,35707
177,36385,32349,35718
178,36967,32848,36286
179,37190,33072,36506
180,37203,33097,36597
181,37252,33155,36609
182,37783,33668,37140
183,37952,33838,37249
184,37995,33850,37403
185,38017,33882,37403
186,38552,34347,37929
187,38778,34586,38199
188,38843,34630,38295
189,38843,34652,38295
190,39365,35073,38820
191,39603,35301,39006
192,39757,35468,39203
193,39757,35468,39229
194,40017,35652,39348
195,40401,36049,39800
196,40574,36253,40041
197,40599,36271,40069
198,40626,36285,40079
199,41105,36653,40496
200,41377,36889,40751
201,41461,36952,40856
202,41466,36958,40885
203,42051,37426,41399
204,42161,37557,41525
205,42364,37721,41739
206,42390,37743,41749
207,42988,38244,42100
208,43174,38431,42551
209,43224,38527,42659
210,43260,38554,42676
211,43825,38971,43153
212,43982,39136,43262
213,44155,39392,43582
214,44155,39392,43582
215,44354,39538,43722
216,44909,40029,44172
217,45170,40257,44498
218,45190,40269,44498
219,45755,40518,44587
220,45930,40932,45176
221,46157,41158,45386
222,46157,41158,45405
223,46173,41158,45437
224,46845,41755,46093
225,47093,41975,46311
226,47123,41975,46387
227,47138,41997,46387
228,47712,42521,46973
229,47981,42732,47234
230,48052,42829,47343
231,48075,42829,47372
232,48636,43179,47925
233,48722,43386,48002
234,48937,43687,48263
235,48937,43687,48263
236,49465,43985,48808
237,49751,44408,49101
238,49867,44509,49254
239,49884,44528,49254
240,50456,45043,49839
241,50574,45158,49955
242,50780,45369,50189
243,50780,45369,50220
244,51245,45535,50296
245,51506,46070,50851
246,51775,46269,51147
247,51775,46269,51194
248,51775,46277,51194
249,52512,46877,51884
250,52805,47073,52061
251,52824,47118,52173
252,52829,47136,52173
253,53410,47670,52709
254,53728,47887,52955
255,53793,47980,53114
256,53793,48000,53140
257,54371,48439,53612
258,54555,48610,53851
259,54751,48876,54106
260,54788,48876,54142
261,55297,49157,54416
262,55476,49567,54818
263,55619,49649,54940
264,55680,49712,55029
265,55869,49735,55058
266,56334,50277,55599
267,56676,50539,55931
268,56689,50558,55949
269,56871,50673,56026
270,57326,51196,56534
271,57605,51383,56758
272,57645,51455,56825
273,57651,51466,56857
274,58212,51999,57351
275,58376,52048,57592
276,58499,52184,57721
277,58499,52191,57749
278,59115,52711,58285
279,59362,52896,58491
280,59417,53016,58665
281,59438,53020,58704
282,59814,53372,59100
283,59814,53372,59101
284,59814,53372,59101
285,59814,53372,59101
286,59814,53372,59101
287,59814,53372,59101
288,59814,53372,59101
289,59814,53372,59101
290,59814,53372,59101
291,59814,53372,59101
292,59814,53372,59101
293,59814,53372,59101
294,59814,53372,59101
295,59814,53372,59101
296,59814,53372,59101
297,59814,53372,59101
298,59814,53372,59101
299,59814,53372,59101
300,59814,53372,59101
301,59814,53372,59101
302,59814,53372,59101
303,59814,53372,59101
304,59814,53372,59101
305,59814,53372,59101
306,59814,53372,59101
307,59814,53372,59101
308,59814,53372,59101
309,59814,53372,59101
310,59814,53372,59101
311,Null,53372,Null
