queue_transaction_latency_avg,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,1e-06
6,1e-06,1e-06,1e-06
7,0,0,1e-06
8,0.0,1e-06,1e-06
9,1e-06,1e-06,1e-06
10,1e-06,1e-06,1e-06
11,1e-06,1e-06,1e-06
12,1e-06,1e-06,1e-06
13,1e-06,1e-06,1e-06
14,1e-06,1e-06,1e-06
15,1e-06,1e-06,1e-06
16,1e-06,1e-06,1e-06
17,1e-06,1e-06,1e-06
18,1e-06,1e-06,1e-06
19,1e-06,1e-06,1e-06
20,1e-06,1e-06,1e-06
21,1e-06,1e-06,1e-06
22,1e-06,1e-06,1e-06
23,1e-06,1e-06,1e-06
24,1e-06,1e-06,1e-06
25,1e-06,1e-06,1e-06
26,1e-06,1e-06,1e-06
27,0.0,1e-06,1e-06
28,0.0,1e-06,1e-06
29,1e-06,1e-06,1e-06
30,1e-06,1e-06,1e-06
31,1e-06,1e-06,1e-06
32,0.0,0.0,0.0
33,1e-06,0.0,1e-06
34,1e-06,1e-06,1e-06
35,1e-06,1e-06,1e-06
36,1e-06,1e-06,1e-06
37,1e-06,1e-06,1e-06
38,1e-06,1e-06,1e-06
39,1e-06,1e-06,1e-06
40,0,1e-06,1e-06
41,1e-06,1e-06,1e-06
42,1e-06,1e-06,1e-06
43,1e-06,1e-06,1e-06
44,1e-06,1e-06,1e-06
45,1e-06,1e-06,1e-06
46,1e-06,1e-06,1e-06
47,1e-06,1e-06,1e-06
48,0.0,1e-06,0.0
49,1e-06,1e-06,1e-06
50,1e-06,1e-06,1e-06
51,1e-06,1e-06,1e-06
52,1e-06,0,1e-06
53,1e-06,1e-06,1e-06
54,0.001081,1e-06,1e-06
55,1e-06,1e-06,1e-06
56,1e-06,1e-06,1e-06
57,1e-06,5e-06,0
58,1e-06,1e-06,1e-06
59,1e-06,1e-06,1e-06
60,1e-06,1e-06,1e-06
61,1e-06,1e-06,1e-06
62,1e-06,1e-06,1e-06
63,1e-06,1e-06,1e-06
64,1e-06,1e-06,1e-06
65,1e-06,1e-06,1e-06
66,1e-06,1e-06,1e-06
67,1e-06,1e-06,1e-06
68,1e-06,1e-06,1e-06
69,0.0,1e-06,1e-06
70,1e-06,1e-06,1e-06
71,1e-06,1e-06,1e-06
72,1e-06,1e-06,1e-06
73,1e-06,1e-06,1e-06
74,0,0,0
75,1e-06,1e-06,1e-06
76,1e-06,1e-06,1e-06
77,1e-06,1e-06,1e-06
78,0,1e-06,1e-06
79,1e-06,1e-06,0.049545
80,0.0,1e-06,1e-06
81,1e-06,1e-06,1e-06
82,0.0,0.0,1e-06
83,0.0,1e-06,1e-06
84,1e-06,1e-06,1e-06
85,1e-06,1e-06,1e-06
86,1e-06,1e-06,1e-06
87,1e-06,0,0
88,1e-06,1e-06,1e-06
89,1e-06,1e-06,1e-06
90,1e-06,1e-06,1e-06
91,1e-06,1e-06,1e-06
92,1e-06,1e-06,1e-06
93,1e-06,1e-06,1e-06
94,1e-06,0.0,1e-06
95,1e-06,1e-06,1e-06
96,1e-06,1e-06,1e-06
97,1e-06,1e-06,1e-06
98,1e-06,1e-06,1e-06
99,1e-06,1e-06,1e-06
100,1e-06,1e-06,1e-06
101,1e-06,1e-06,1e-06
102,1e-06,1e-06,1e-06
103,1e-06,1e-06,1e-06
104,1e-06,1e-06,1e-06
105,1e-06,1e-06,1e-06
106,1e-06,1e-06,1e-06
107,0.0,1e-06,1e-06
108,1e-06,1e-06,1e-06
109,1e-06,1e-06,1e-06
110,2e-06,1e-06,1e-06
111,1e-06,0,1e-06
112,1e-06,1e-06,1e-06
