loadavg,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,64,139,139
1,139,139,139
2,139,139,139
3,139,240,240
4,139,240,240
5,240,240,240
6,240,293,240
7,293,293,293
8,293,293,293
9,381,293,293
10,381,381,381
11,381,381,381
12,381,495,381
13,495,495,381
14,495,495,656
15,495,656,656
16,656,656,656
17,656,656,656
18,763,763,763
19,926,763,763
20,926,763,763
21,926,926,926
22,1140,1140,926
23,1140,1140,1140
24,1140,1140,1140
25,1140,1140,1140
26,1185,1140,1185
27,1185,1140,1185
28,1185,1242,1185
29,1242,1242,1242
30,1242,1242,1242
31,1242,1242,1242
32,1242,1242,1319
33,1319,1319,1319
34,1302,1302,1302
35,1302,1302,1302
36,1398,1302,1302
37,1398,1302,1302
38,1398,1398,1398
39,1398,1398,1398
40,1398,1518,1398
41,1518,1518,1518
42,1518,1518,1518
43,1589,1518,1589
44,1589,1589,1589
45,1589,1589,1589
46,1613,1613,1613
47,1613,1613,1613
48,1613,1613,1821
49,1613,1821,1821
50,1821,1821,1821
51,1821,1821,1821
52,1914,1914,1914
53,1922,1914,1914
54,1922,1922,1922
55,1912,1922,1922
56,1912,1912,1922
57,1912,1912,1922
58,1912,1912,1912
59,1912,1879,1912
60,1912,1879,1912
61,1913,1879,1879
62,1913,1913,1913
63,1913,1913,1913
64,1992,1913,1913
65,1992,1992,1992
66,1992,1992,1992
67,1992,1992,1992
68,2056,2056,2056
69,2056,2056,2056
70,2092,2092,2092
71,2092,2092,2092
72,2092,2092,2092
73,2157,2157,2157
74,2157,2157,2157
75,2157,2157,2157
76,2112,2112,2112
77,2112,2112,2112
78,2112,2112,2112
79,2112,2111,2111
80,2126,2111,2111
81,2126,2126,2126
82,2126,2126,2126
83,2126,2126,2126
84,2126,2126,2126
85,2116,2116,2116
86,2091,2116,2116
87,2091,2116,2116
88,2091,2091,2116
89,2091,2180,2091
90,2091,2180,2091
91,2180,2180,2180
92,2165,2165,2180
93,2165,2165,2165
94,2165,2165,2165
95,2165,2165,2165
96,2165,2165,2208
97,2208,2208,2208
98,2279,2208,2208
99,2279,2279,2208
100,2279,2279,2279
101,2279,2225,2279
102,2225,2215,2225
103,2215,2215,2225
104,2215,2215,2215
105,2215,2215,2215
106,2215,2215,2246
107,2246,2246,2246
108,2246,2246,2246
109,2250,2246,2246
110,2250,2250,2250
111,2250,2238,2250
112,2238,2238,2250
113,2238,2238,2238
114,2238,2139,2139
115,2139,2139,2139
116,2139,2139,2139
117,2136,2136,2139
118,2136,2136,2136
119,2181,2136,2136
120,2181,2181,2136
121,2181,2181,2181
122,2111,2181,2111
123,2111,2111,2111
124,2111,2094,2111
125,2094,2094,2094
126,2094,2094,2094
127,2094,2094,2094
128,2206,2206,2206
129,2206,2206,2206
130,2206,2206,2206
131,2182,2206,2182
132,2182,2182,2182
133,2175,2182,2175
134,2175,2175,2175
135,2175,2175,2175
136,2193,2193,2175
137,2193,2193,2193
138,2193,2170,2193
139,2170,2170,2193
140,2170,2170,2193
141,2170,2148,2170
142,2170,2148,2170
143,2170,2148,2170
144,2160,2148,2148
145,2160,2160,2148
146,2160,2160,2160
147,2160,2220,2160
148,2220,2220,2220
149,2220,2220,2220
150,2220,2220,2220
151,2162,2220,2220
152,2162,2220,2162
