numpg_replica,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,12,9,8
1,12,9,8
2,12,9,8
3,12,9,8
4,12,9,8
5,12,9,8
6,12,9,8
7,12,9,8
8,12,9,8
9,12,9,8
10,12,9,8
11,12,9,8
12,12,9,8
13,12,9,8
14,12,9,8
15,12,9,8
16,12,9,8
17,12,9,8
18,12,9,8
19,12,9,8
20,12,9,8
21,12,9,8
22,12,9,8
23,12,9,8
24,12,9,8
25,12,9,8
26,12,9,8
27,12,9,8
28,12,9,8
29,12,9,8
30,12,9,8
31,12,9,8
32,12,9,8
33,12,9,8
34,12,9,8
35,12,9,8
36,12,9,8
37,12,9,8
38,12,9,8
39,12,9,8
40,12,9,8
41,12,9,8
42,12,9,8
43,12,9,8
44,12,9,8
45,12,9,8
46,12,9,8
47,12,9,8
48,12,9,8
49,12,9,8
50,12,9,8
51,12,9,8
52,12,9,8
53,12,9,8
54,12,9,8
55,12,9,8
56,12,9,8
57,12,9,8
58,12,9,8
59,12,9,8
60,12,9,8
61,12,9,8
62,12,9,8
63,12,9,8
64,12,9,8
65,12,9,8
66,12,9,8
67,12,9,8
68,12,9,8
69,12,9,8
70,12,9,8
71,12,9,8
72,12,9,8
73,12,9,8
74,12,9,8
75,12,9,8
76,12,9,8
77,12,9,8
78,12,9,8
79,12,9,8
80,12,9,8
81,12,9,8
82,12,9,8
83,12,9,8
84,12,9,8
85,12,9,8
86,12,9,8
87,12,9,8
88,12,9,8
89,12,9,8
90,12,9,8
91,12,9,8
92,12,9,8
93,12,9,8
94,12,9,8
95,12,9,8
96,12,9,8
97,12,9,8
98,12,9,8
99,12,9,8
100,12,9,8
101,12,9,8
102,12,9,8
103,12,9,8
104,12,9,8
105,12,9,8
106,12,9,8
107,12,9,8
108,12,9,8
109,12,9,8
110,12,9,8
111,12,9,8
112,12,9,8
113,12,9,8
114,12,9,8
115,12,9,8
116,12,9,8
117,12,9,8
118,12,9,8
119,12,9,8
120,12,9,8
121,12,9,8
122,12,9,8
123,12,9,8
124,12,9,8
125,12,9,8
126,12,9,8
127,12,9,8
128,12,9,8
129,12,9,8
130,12,9,8
131,12,9,8
132,12,9,8
133,12,9,8
134,12,9,8
135,12,9,8
136,12,9,8
137,12,9,8
138,12,9,8
139,12,9,8
140,12,9,8
141,12,9,8
142,12,9,8
143,12,9,8
144,12,9,8
145,12,9,8
146,12,9,8
147,12,9,8
148,12,9,8
149,12,9,8
150,12,9,8
151,12,9,8
152,12,9,8
153,12,9,8
154,12,9,8
155,12,9,8
156,12,9,8
157,12,9,8
158,12,9,8
159,12,9,8
160,12,9,8
161,12,9,8
162,12,9,8
163,12,9,8
164,12,9,8
165,12,9,8
166,12,9,8
167,12,9,8
168,12,9,8
169,12,9,8
170,12,9,8
171,12,9,8
172,12,9,8
173,12,9,8
174,12,9,8
175,12,9,8
176,12,9,8
177,12,9,8
178,12,9,8
179,12,9,8
180,12,9,8
181,12,9,8
182,12,9,8
183,12,9,8
184,12,9,8
185,12,9,8
186,12,9,8
187,12,9,8
188,12,9,8
189,12,9,8
190,12,9,8
191,12,9,8
192,12,9,8
193,12,9,8
194,12,9,8
195,12,9,8
196,12,9,8
197,12,9,8
198,12,9,8
199,12,9,8
200,12,9,8
201,12,9,8
202,12,9,8
203,12,9,8
204,12,9,8
205,12,9,8
206,12,9,8
207,12,9,8
208,12,9,8
209,12,9,8
210,12,9,8
211,12,9,8
212,12,9,8
213,12,9,8
214,12,9,8
215,12,9,8
216,12,9,8
217,12,9,8
218,12,9,8
219,12,9,8
220,12,9,8
221,12,9,8
222,12,9,8
223,12,9,8
224,12,9,8
225,12,9,8
226,12,9,8
227,12,9,8
228,12,9,8
229,12,9,8
230,12,9,8
231,12,9,8
232,12,9,8
233,12,9,8
234,12,9,8
235,12,9,8
236,12,9,8
237,12,9,8
238,12,9,8
239,12,9,8
240,12,9,8
241,12,9,8
242,12,9,8
243,12,9,8
244,12,9,8
245,12,9,8
246,12,9,8
247,12,9,8
248,12,9,8
249,12,9,8
250,12,9,8
251,12,9,8
252,12,9,8
253,12,9,8
254,12,9,8
255,12,9,8
256,12,9,8
257,12,9,8
258,12,9,8
259,12,9,8
260,12,9,8
261,12,9,8
262,12,9,8
263,12,9,8
264,12,9,8
265,12,9,8
266,12,9,8
267,12,9,8
268,12,9,8
269,12,9,8
270,12,9,8
271,12,9,8
272,12,9,8
273,12,9,8
274,12,9,8
275,12,9,8
276,12,9,8
277,12,9,8
278,12,9,8
279,12,9,8
280,12,9,8
281,12,9,8
282,12,9,8
283,12,9,8
284,12,9,8
285,12,9,8
286,12,9,8
287,12,9,8
288,12,9,8
289,12,9,8
290,12,9,8
291,12,9,8
292,12,9,8
293,12,9,8
294,12,9,8
295,12,9,8
296,12,9,8
297,12,9,8
298,12,9,8
299,12,9,8
300,12,9,8
301,12,9,8
302,12,9,8
303,12,9,8
304,12,9,8
305,12,9,8
306,12,9,8
307,12,9,8
308,12,9,8
309,12,9,8
310,12,9,8
311,Null,9,Null
