op_in_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,50331648,50331648,75497472
1,50331648,50331648,75497472
2,50331648,50331648,75497472
3,50331648,50331648,75497472
4,50331648,50331648,75497472
5,50331648,50331648,75497472
6,50331648,50331648,75497472
7,51003392,51101696,76681216
8,51003392,51101696,76697600
9,52260864,51900416,77385728
10,52920320,52666368,79130624
11,53264384,53153792,79863808
12,53264384,53153792,79912960
13,53673984,53182464,79912960
14,54632448,54460416,82038784
15,55136256,54882304,82628608
16,55152640,55013376,82919424
17,55214080,55091200,82968576
18,56549376,56500224,84869120
19,56963072,56860672,85618688
20,57016320,56860672,85639168
21,57069568,56930304,85659648
22,58294272,58142720,87552000
23,58617856,58580992,88121344
24,58757120,58724352,88522752
25,58945536,59039744,88576000
26,59957248,59879424,90243072
27,60342272,60407808,90910720
28,60592128,60678144,91377664
29,60674048,60727296,91394048
30,62046208,62042112,92913664
31,62312448,62312448,93704192
32,62361600,62447616,94044160
33,62439424,62513152,94195712
34,63823872,63795200,96104448
35,64327680,64180224,96817152
36,64405504,64290816,96989184
37,64663552,64315392,96993280
38,65777664,65482752,98975744
39,66232320,65884160,99323904
40,66371584,66097152,99778560
41,66371584,66101248,99794944
42,67588096,67231744,101376000
43,67973120,67723264,102129664
44,68206592,67956736,102707200
45,68231168,67956736,102715392
46,69369856,68702208,103317504
47,69804032,69537792,104857600
48,70098944,70008832,105680896
49,70098944,70008832,105766912
50,70356992,70356992,105791488
51,71458816,71413760,107732992
52,71917568,72065024,108548096
53,72015872,72065024,108666880
54,72028160,72110080,108666880
55,73494528,73326592,110432256
56,73785344,73867264,111108096
57,74047488,74113024,111521792
58,74084352,74121216,111521792
59,75411456,74932224,112734208
60,75587584,75685888,113524736
61,75960320,76111872,114475008
62,75980800,76124160,114495488
63,76288000,76263424,114655232
64,77430784,77312000,116551680
65,77971456,77848576,117067776
66,78102528,78065664,117579776
67,78110720,78065664,117673984
68,79429632,78979072,119283712
69,79810560,79667200,119992320
70,80158720,80072704,120729600
71,80162816,80072704,120807424
72,80961536,80494592,120934400
73,81772544,81731584,123166720
74,82186240,82104320,123826176
75,82186240,82104320,123826176
76,82415616,82227200,123895808
77,83525632,83570688,125743104
78,83906560,83894272,126361600
79,83906560,83910656,126361600
80,84729856,84459520,126918656
81,85254144,85348352,128729088
82,85729280,85856256,129155072
83,85786624,85913600,129581056
84,85807104,85913600,129634304
85,86966272,87117824,130842624
86,87465984,87568384,131809280
87,87777280,87928832,132546560
88,87810048,87928832,132546560
89,89157632,88727552,133210112
90,89554944,89366528,134733824
91,89923584,89853952,135614464
92,89968640,89853952,135655424
93,90562560,89997312,135835648
94,91459584,91242496,137732096
95,91942912,91705344,138473472
96,91979776,91758592,138551296
97,92336128,91881472,138551296
98,93319168,92999680,140443648
99,93749248,93687808,141606912
100,93802496,93687808,141606912
101,93831168,93745152,141643776
102,95219712,95162368,143499264
103,95453184,95559680,144269312
104,95457280,95559680,144355328
105,95776768,95768576,144384000
106,96964608,97001472,146255872
107,97329152,97542144,146939904
108,97386496,97542144,147066880
109,97415168,97542144,147177472
110,98902016,98840576,148905984
111,99344384,99549184,149786624
112,99438592,99549184,149909504
113,99471360,99573760,149917696
114,100786176,101019648,151838720
115,101040128,101240832,152371200
116,101142528,101330944,152592384
117,101179392,101371904,152600576
118,102576128,102453248,154644480
119,102916096,102842368,155090944
120,103157760,103161856,155615232
121,103170048,103161856,155615232
122,103796736,103489536,156000256
123,104747008,104599552,157831168
124,105226240,105168896,158420992
125,105259008,105189376,158769152
126,105259008,105189376,158769152
127,106463232,106573824,159883264
128,106983424,107032576,161325056
129,107253760,107229184,161718272
130,107261952,107229184,161800192
131,107720704,107667456,162140160
