op_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0.079329,0.069996,0.072003
7,0,0,0.301195
8,0.153893,0.209109,0.20905
9,0.127522,0.107368,0.088604
10,0.14083,0.151364,0.162872
11,0,0,0.956043
12,0.366048,2.797572,0
13,0.078283,0.089559,0.185868
14,0.137401,0.145978,0.142743
15,0.225065,0.163307,0.176588
16,2.15633,2.246679,2.129107
17,0.107091,0.102317,0.114861
18,0.136088,0.151297,0.150463
19,0.684312,0,0.617799
20,1.13166,1.804808,0.824233
21,0.073126,0.069423,0.17712
22,0.258257,0.187816,0.171618
23,0.215557,0.341214,0.181561
24,0.799641,0.466448,1.753125
25,0.098286,0.087502,0.093834
26,0.153508,0.175494,0.177001
27,0.107762,0.185615,0.143423
28,0.967127,1.610969,1.470101
29,0.10583,0.109556,0.160715
30,0.140411,0.109879,0.109495
31,0.154069,0.113575,0.231055
32,0.855157,1.925413,1.552413
33,0.083298,0.108622,0.103032
34,0.131138,0.164617,0.126513
35,0.44252,0.438389,0.750711
36,0.493926,1.447083,1.452764
37,0.071454,0.101643,0.143112
38,0.166648,0.209144,0.265668
39,0.248063,0.215911,0.128021
40,0,1.836339,1.795758
41,0.134722,0.135658,0.206038
42,0.119834,0.13932,0.138
43,0.101884,0.12478,0.126644
44,2.020455,0,1.170126
45,0.157982,0.231917,0.420131
46,0.143701,0.112853,0.080925
47,0.11715,0.145794,0.152045
48,0,0,1.355174
49,0.481249,0.510571,1.750597
50,0.08462,0.086504,0.109289
51,0.139032,0.135989,0.137491
52,0.136424,0,0.152043
53,1.704881,1.700318,0
54,0.167036,0.119943,0.182795
55,0.129979,0.141631,0.171021
56,0.117537,0.153487,0.170109
57,1.978847,1.977092,0
58,0.136019,0.255948,0.2292
59,0.177575,0.096238,0.090894
60,0.157888,0.166767,0.182098
61,0.92778,0.938501,0.919894
62,0.330674,0.698224,1.045877
63,0.086599,0.079942,0.087203
64,0.142437,0.146098,0.136737
65,0.142825,0.179978,0.146596
66,2.196201,0,2.116609
67,0.15668,0.205789,0.121646
68,0.128393,0.117253,0.120013
69,0.172907,0.14092,0.136057
70,0.963738,0,0.689435
71,0.2354,0.51199,0.9113
72,0.106259,0.100273,0.091946
73,0.160169,0.152016,0.130924
74,0,0,0
75,0.549417,1.103687,1.971978
76,0.081074,0.092924,0.089251
77,0.129967,0.1888,0.163948
78,0,0.051288,0
79,0.059656,0.065371,1.146388
80,0.106937,0.092128,0.089333
81,0.133917,0.147616,0.178599
82,0.085299,0.081922,0.172091
83,1.55908,0,1.576958
84,0.121325,0.227552,0.20701
85,0.155943,0.13058,0.123203
86,0.108001,0.125418,0.141748
87,2.102409,0,0
88,0.082112,0.22665,0.548802
89,0.139248,0.104985,0.085242
90,0.158772,0.164463,0.154929
91,0.688614,0,0.149763
92,0.222405,0.811452,1.797461
93,0.083337,0.084387,0.07846
94,0.142592,0.143239,0.145308
95,1.494652,0.19468,0.183479
96,0.296872,1.051451,0
97,0.081574,0.089742,0.229934
98,0.117575,0.142865,0.138386
99,0.31193,0,0
100,1.64603,2.275723,1.779948
101,0.099158,0.087165,0.188367
102,0.132821,0.197088,0.173996
103,0.507269,0,0.243591
104,0.42432,1.061779,1.515899
105,0.08105,0.083263,0.115353
106,0.158511,0.15877,0.147464
107,0.080586,0,0.109758
108,1.970687,0,1.706619
109,0.155167,0.137388,0.161913
110,0.13237,0.142743,0.136781
111,0.177457,0,0.157975
112,1.316293,2.249805,2.042557
113,0.127654,0.173291,0.173431
114,0.134132,0.136501,0.171039
115,0.186848,0.190509,0.184625
