op_w,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,48,48,72
1,48,48,72
2,48,48,72
3,48,48,72
4,48,48,72
5,48,48,72
6,48,48,72
7,212,236,361
8,212,236,365
9,519,431,533
10,680,618,959
11,764,737,1138
12,764,737,1150
13,864,744,1150
14,1098,1056,1669
15,1221,1159,1813
16,1225,1191,1884
17,1240,1210,1896
18,1566,1554,2360
19,1667,1642,2543
20,1680,1642,2548
21,1693,1659,2553
22,1992,1955,3015
23,2071,2062,3154
24,2105,2097,3252
25,2151,2174,3265
26,2398,2379,3672
27,2492,2508,3835
28,2553,2574,3949
29,2573,2586,3953
30,2908,2907,4324
31,2973,2973,4517
32,2985,3006,4600
33,3004,3022,4637
34,3342,3335,5103
35,3465,3429,5277
36,3484,3456,5319
37,3547,3462,5320
38,3819,3747,5804
39,3930,3845,5889
40,3964,3897,6000
41,3964,3898,6004
42,4261,4174,6390
43,4355,4294,6574
44,4412,4351,6715
45,4418,4351,6717
46,4696,4533,6864
47,4802,4737,7240
48,4874,4852,7441
49,4874,4852,7462
50,4937,4937,7468
51,5206,5195,7942
52,5318,5354,8141
53,5342,5354,8170
54,5345,5365,8170
55,5703,5662,8601
56,5774,5794,8766
57,5838,5854,8867
58,5847,5856,8867
59,6171,6054,9163
60,6214,6238,9356
61,6305,6342,9588
62,6310,6345,9593
63,6385,6379,9632
64,6664,6635,10095
65,6796,6766,10221
66,6828,6819,10346
67,6830,6819,10369
68,7152,7042,10762
69,7245,7210,10935
70,7330,7309,11115
71,7331,7309,11134
72,7526,7412,11165
73,7724,7714,11710
74,7825,7805,11871
75,7825,7805,11871
76,7881,7835,11888
77,8152,8163,12339
78,8245,8242,12490
79,8245,8246,12490
80,8446,8380,12626
81,8574,8597,13068
82,8690,8721,13172
83,8704,8735,13276
84,8709,8735,13289
85,8992,9029,13584
86,9114,9139,13820
87,9190,9227,14000
88,9198,9227,14000
89,9527,9422,14162
90,9624,9578,14534
91,9714,9697,14749
92,9725,9697,14759
93,9870,9732,14803
94,10089,10036,15266
95,10207,10149,15447
96,10216,10162,15466
97,10303,10192,15466
98,10543,10465,15928
99,10648,10633,16212
100,10661,10633,16212
101,10668,10647,16221
102,11007,10993,16674
103,11064,11090,16862
104,11065,11090,16883
105,11143,11141,16890
106,11433,11442,17347
107,11522,11574,17514
108,11536,11574,17545
109,11543,11574,17572
110,11906,11891,17994
111,12014,12064,18209
112,12037,12064,18239
113,12045,12070,18241
114,12366,12423,18710
115,12428,12477,18840
116,12453,12499,18894
117,12462,12509,18896
118,12803,12773,19395
119,12886,12868,19504
120,12945,12946,19632
121,12948,12946,19632
122,13101,13026,19726
123,13333,13297,20173
124,13450,13436,20317
125,13458,13441,20402
126,13458,13441,20402
127,13752,13779,20674
128,13879,13891,21026
129,13945,13939,21122
130,13947,13939,21142
131,14059,14046,21225
132,14296,14309,21683
133,14390,14410,21837
134,14390,14410,21837
135,14429,14418,21858
136,14767,14788,22377
137,14847,14891,22579
138,14854,14905,22579
139,14883,14919,22605
140,15171,15213,23035
141,15305,15333,23204
142,15327,15376,23337
143,15341,15388,23337
144,15530,15470,23399
145,15764,15727,23855
146,15803,15800,23996
147,15817,15810,24008
148,15913,15830,24051
149,16211,16142,24528
150,16304,16266,24682
151,16316,16278,24700
152,16324,16283,24722
153,16679,16620,25225
154,16708,16695,25346
155,16744,16733,25427
156,16745,16735,25428
157,17041,17039,25813
158,17128,17120,25943
159,17157,17186,26093
160,17165,17205,26105
161,17461,17390,26365
162,17541,17592,26619
163,17636,17663,26774
164,17637,17674,26778
165,17696,17705,26795
166,18001,18023,27269
167,18121,18160,27446
168,18128,18165,27458
169,18314,18387,27586
170,18481,18515,27937
171,18578,18636,28156
172,18587,18651,28170
173,18674,18686,28213
174,18981,19007,28730
175,19071,19080,28875
176,19071,19080,28898
177,19088,19100,28907
178,19408,19391,29374
179,19537,19529,29533
180,19542,19546,29638
181,19569,19564,29646
182,19880,19897,30068
183,19968,19997,30182
184,19982,20006,30306
185,20003,20025,30306
186,20269,20304,30731
