op_w_process_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0.074714,0.067062,0.06842
7,0,0,0.300439
8,0.151235,0.206726,0.206377
9,0.125287,0.105948,0.086206
10,0.138606,0.149582,0.159304
11,0,0,0.954521
12,0.363395,2.789083,0
13,0.075074,0.08652,0.182301
14,0.134867,0.143759,0.140302
15,0.219784,0.162118,0.173399
16,2.152967,2.245753,2.12738
17,0.10465,0.099935,0.111813
18,0.133797,0.148998,0.147541
19,0.679969,0,0.616081
20,1.130852,1.803454,0.819013
21,0.071213,0.066734,0.174391
22,0.255726,0.185809,0.167997
23,0.212378,0.339372,0.178451
24,0.797826,0.464394,1.748248
25,0.095567,0.085424,0.090914
26,0.151392,0.17335,0.174659
27,0.10347,0.183889,0.141231
28,0.963927,1.610272,1.466705
29,0.102737,0.107287,0.157107
30,0.138858,0.10744,0.106401
31,0.152152,0.110364,0.228079
32,0.853282,1.922631,1.550399
33,0.080645,0.106974,0.100244
34,0.128963,0.16228,0.123581
35,0.441407,0.43707,0.749089
36,0.491995,1.444988,1.446054
37,0.068039,0.099521,0.139644
38,0.164128,0.206434,0.263616
39,0.246703,0.214254,0.125763
40,0,1.832409,1.795168
41,0.131528,0.132503,0.202758
42,0.116952,0.136748,0.135569
43,0.099298,0.121856,0.123501
44,2.019302,0,1.168247
45,0.155059,0.228452,0.418414
46,0.140004,0.110194,0.0777
47,0.114152,0.142906,0.149393
48,0,0,1.353308
49,0.479288,0.507537,1.748606
50,0.082039,0.084366,0.106446
51,0.136734,0.133256,0.134699
52,0.133952,0,0.149166
53,1.70209,1.697177,0
54,0.161253,0.117364,0.179368
55,0.128497,0.138924,0.16895
56,0.113772,0.151121,0.167055
57,1.974635,1.975859,0
58,0.133089,0.253759,0.226744
59,0.175069,0.09386,0.087423
60,0.155945,0.164596,0.179274
61,0.921224,0.937278,0.917357
62,0.328259,0.694826,1.043497
63,0.082465,0.077934,0.084356
64,0.139415,0.143063,0.133318
65,0.140278,0.177989,0.143898
66,2.195336,0,2.113627
67,0.153615,0.203474,0.118528
68,0.125484,0.114939,0.117695
69,0.170067,0.138952,0.13158
70,0.961836,0,0.687312
71,0.23203,0.509165,0.909294
72,0.103658,0.09749,0.08884
73,0.1573,0.150238,0.127456
74,0,0,0
75,0.547372,1.100562,1.967944
76,0.077808,0.090384,0.085486
77,0.127472,0.186171,0.160411
78,0,0.050992,0
79,0.056845,0.063021,0.945313
80,0.104789,0.090138,0.086714
81,0.132326,0.144827,0.175951
82,0.08437,0.080165,0.169264
83,1.557936,0,1.573328
84,0.118488,0.225045,0.204444
85,0.153262,0.127671,0.120333
86,0.105471,0.122895,0.138029
87,2.100195,0,0
88,0.079906,0.224512,0.546303
89,0.135554,0.101811,0.082586
90,0.155989,0.162803,0.150913
91,0.685676,0,0.149162
92,0.217919,0.809057,1.793444
93,0.081227,0.082217,0.075484
94,0.140778,0.141528,0.143296
95,1.492668,0.193464,0.180933
96,0.294427,1.050251,0
97,0.079249,0.086878,0.227371
98,0.115013,0.140472,0.136328
99,0.30712,0,0
100,1.64472,2.273789,1.77875
101,0.096525,0.084877,0.185304
102,0.130641,0.195382,0.170928
103,0.50702,0,0.241025
104,0.422223,1.053237,1.512084
105,0.078618,0.08072,0.112048
106,0.155669,0.155949,0.144934
107,0.071955,0,0.105369
108,1.964222,0,1.702419
109,0.152486,0.135457,0.158895
110,0.129788,0.140732,0.133504
111,0.176005,0,0.155611
112,1.315729,2.247766,2.041065
113,0.12514,0.170896,0.170191
114,0.131855,0.134283,0.16888
