op_w_rlat,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0.083477,0.071239,0.078748
7,0,0,0.301194
8,0.164235,0.211008,0.183928
9,0.126106,0.110891,0.087662
10,0.144714,0.154468,0.172816
11,0,0,0
12,0.343694,2.80389,0
13,0.082152,0.090267,0.200835
14,0.14863,0.167737,0.15601
15,0.224671,0.216034,0.177896
16,2.156328,2.246678,2.129105
17,0.116191,0.107329,0.096772
18,0.136117,0.152499,0.155327
19,0.685648,0,0.702345
20,1.131658,0,1.125778
21,0.07878,0.068604,0.20245
22,0.195304,0.182623,0.157833
23,0.191802,0.152438,0.181712
24,0.816141,0.51731,1.740622
25,0.090745,0.086031,0.094957
26,0.152288,0.184534,0.159195
27,0.105488,0.096887,0.142699
28,0.967115,1.610968,1.470099
29,0.097586,0.104551,0.171196
30,0.159004,0.119373,0.118007
31,0.154068,0.113572,0.259824
32,0.841353,1.925412,1.992488
33,0.077102,0.118255,0.108768
34,0.127908,0.153126,0.124487
35,0.442518,0.438388,0.627857
36,0.538822,1.447081,1.452763
37,0.071837,0.106108,0.15616
38,0.167958,0.200355,0.263006
39,0.289035,0.21577,0.132921
40,0,1.836336,0
41,0.145555,0.141314,0.241833
42,0.125897,0.137645,0.137516
43,0.085619,0.128353,0.107152
44,2.020453,0,0
45,0.141146,0.241485,0.512879
46,0.142083,0.122466,0.08429
47,0.127328,0.14525,0.135275
48,0,0,0
49,0.458623,0.512975,1.809991
50,0.089449,0.090288,0.11968
51,0.150376,0.137123,0.136318
52,0.134791,0,0.156655
53,1.704654,1.700111,0
54,0.211233,0.1284,0.202168
55,0.125295,0.156727,0.175686
56,0.118072,0.15398,0.195287
57,1.978845,1.97709,0
58,0.149719,0.276901,0.244302
59,0.190161,0.095328,0.089499
60,0.159006,0.164041,0.188151
61,0.927778,0.938499,0.919892
62,0.311095,0.717837,1.098016
63,0.085912,0.082041,0.078388
64,0.148705,0.155853,0.136734
65,0.174939,0.182637,0.127389
66,2.186384,0,2.1054
67,0.147774,0.213142,0.130259
68,0.129208,0.115846,0.124306
69,0.185504,0.141802,0.139407
70,0.963735,0,0.293936
71,0.227711,0.550496,0.911297
72,0.106625,0.09683,0.092334
73,0.156598,0.152321,0.131331
74,0,0,0
75,0.647664,1.13801,1.971976
76,0.08188,0.09619,0.091348
77,0.125861,0.194782,0.168413
78,0,0.051285,0
79,0.059243,0.063976,1.291058
80,0.111142,0.096233,0.086311
81,0.122138,0.151904,0.161632
82,0.09921,0.089018,0.129388
83,1.559079,0,1.576957
84,0.137095,0.100484,0.224783
85,0.15271,0.133127,0.130352
86,0.099103,0.125814,0.143992
87,2.102408,0,0
88,0.087439,0.241118,0.566987
89,0.148638,0.108456,0.089884
90,0.11758,0.156528,0.154908
91,0.688613,0,0.149762
92,0.259053,0.83257,1.797389
93,0.08977,0.085846,0.080403
94,0.149808,0.154785,0.145418
95,0,0.194678,0.183478
96,0.33539,1.251142,0
97,0.089453,0.091582,0.255305
98,0.132033,0.148534,0.142851
99,0,0,0
100,1.8684,2.287476,1.962262
101,0.112906,0.093961,0.207078
102,0.144478,0.205736,0.183462
103,0,0,0.447734
104,0.495315,1.082143,1.515897
105,0.087525,0.088531,0.119863
106,0.180181,0.162013,0.151025
107,0.080584,0,0.109756
108,1.719754,0,1.706617
109,0.165385,0.141388,0.172328
110,0.133856,0.138885,0.140357
111,0.219418,0,0.176792
112,0.839955,0,0
113,0.144239,0.177196,0.19301
114,0.142197,0.135761,0.175669
115,0.193671,0.18974,0.178773
116,1.397488,1.184323,0
