op_wip,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,5,5,2
8,5,5,1
9,7,1,2
10,3,1,4
11,1,2,4
12,2,3,1
13,4,1,3
14,7,6,2
15,4,2,8
16,3,1,1
17,3,2,4
18,1,3,2
19,6,3,1
20,1,4,0
21,2,1,4
22,2,4,1
23,5,4,8
24,4,4,5
25,1,1,2
26,3,4,3
27,8,1,5
28,5,2,3
29,2,2,1
30,5,3,5
31,4,2,8
32,1,6,10
33,7,3,2
34,2,1,1
35,3,4,3
36,3,2,4
37,2,1,3
38,0,1,2
39,7,5,2
40,5,2,2
41,5,0,3
42,3,2,4
43,0,6,7
44,3,2,2
45,4,1,4
46,4,4,1
47,5,3,3
48,4,3,6
49,3,2,2
50,0,0,4
51,4,0,2
52,4,3,1
53,1,3,5
54,2,1,1
55,3,2,4
56,3,6,4
57,4,3,3
58,4,3,3
59,5,0,3
60,1,2,4
61,5,1,1
62,4,2,1
63,3,1,0
64,7,2,6
65,4,2,3
66,6,3,5
67,10,3,2
68,0,0,2
69,3,5,4
70,2,2,3
71,5,4,1
72,3,1,1
73,9,3,1
74,4,1,3
75,4,1,3
76,1,1,1
77,5,0,4
78,0,0,5
79,0,0,13
80,1,3,3
81,1,3,0
82,1,1,5
83,1,1,2
84,3,2,2
85,3,2,3
86,5,3,5
87,3,2,4
88,1,2,4
89,5,4,4
90,2,4,7
91,8,3,3
92,1,4,4
93,2,2,0
94,5,3,0
95,2,4,3
96,5,2,4
97,0,1,5
98,3,2,1
99,10,4,4
100,1,6,2
101,2,1,6
102,2,5,2
103,3,2,3
104,1,2,2
105,1,2,3
106,1,1,0
107,2,1,1
108,2,1,4
109,3,2,3
110,3,1,2
111,2,3,4
112,3,3,2
113,3,3,5
114,3,0,1
115,4,1,1
116,3,2,4
117,1,3,5
118,1,4,2
119,2,2,3
120,1,3,1
121,2,4,1
122,1,2,1
123,4,2,2
124,2,3,2
125,1,4,4
126,1,4,4
127,1,1,5
128,6,3,1
129,2,1,1
130,2,2,2
131,4,4,1
132,2,2,2
133,3,2,4
134,3,2,6
135,0,2,6
136,4,2,6
137,2,2,6
138,1,1,3
139,3,5,0
140,4,3,6
141,2,1,1
142,6,2,1
143,6,2,2
144,2,7,1
145,5,1,2
146,8,2,1
147,3,4,4
148,3,4,2
149,2,5,1
150,2,3,2
151,1,1,1
152,2,2,1
153,2,1,4
154,5,5,3
155,1,2,2
156,1,2,0
157,5,2,2
158,2,4,4
159,2,3,3
160,3,1,6
161,6,1,0
162,4,2,2
163,1,3,1
164,0,3,3
165,2,0,4
166,3,5,1
167,5,5,2
168,3,5,0
169,5,1,2
170,3,3,5
171,1,5,2
172,2,1,3
173,0,1,4
174,2,3,2
175,1,1,1
176,1,3,2
177,6,3,2
178,2,2,2
179,2,2,0
180,1,2,1
181,1,2,3
182,2,3,7
183,0,3,5
184,5,2,3
185,3,3,5
186,5,2,4
187,0,8,3
188,3,5,2
189,7,1,5
190,2,2,4
191,2,2,6
192,5,3,2
193,5,3,2
194,5,3,4
195,2,2,4
196,4,3,4
197,7,0,2
198,1,1,4
199,6,3,2
200,5,3,1
201,4,2,4
202,3,3,1
203,0,3,4
204,3,1,5
205,0,1,3
206,0,2,8
207,2,2,3
208,1,5,5
209,4,4,2
210,2,1,0
211,3,4,7
212,2,4,4
213,1,8,1
214,4,4,2
215,0,1,5
216,2,4,4
217,2,3,1
218,1,2,3
219,4,0,2
220,5,2,3
221,6,3,1
222,3,1,2
223,6,4,2
224,7,0,0
225,4,3,4
226,1,3,1
227,0,1,8
228,3,3,0
229,5,1,1
230,1,0,2
231,2,2,2
232,2,1,1
233,5,3,1
234,2,11,3
235,2,4,4
236,0,2,1
237,1,3,1
238,5,1,5
239,2,1,5
240,1,2,4
241,0,1,2
242,4,1,2
243,4,1,3
244,1,2,2
245,3,2,3
246,3,3,3
247,3,3,6
248,7,2,8
249,2,4,1
250,2,1,2
251,3,2,4
252,1,1,5
253,4,3,2
254,3,2,4
255,1,1,4
256,2,3,2
257,4,2,1
258,2,2,8
259,2,0,4
260,4,2,2
261,5,0,1
262,4,3,5
263,3,1,3
264,0,3,3
265,1,5,0
266,3,4,2
267,5,3,3
268,6,1,2
269,6,2,1
270,1,3,5
271,1,8,1
272,7,4,1
273,9,6,3
274,0,3,0
275,1,1,3
276,3,1,1
277,2,5,1
278,2,1,1
279,2,4,4
280,2,1,2
281,6,4,2
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,Null,0,Null
