stat_bytes_avail,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,16261984256,16266637312,16262582272
1,16261984256,16266637312,16262582272
2,16261984256,16266637312,16262582272
3,16261984256,16266637312,16262582272
4,16261984256,16266637312,16262582272
5,16261984256,16266637312,16262582272
6,16261984256,16266637312,16262582272
7,16261808128,16266063872,16262123520
8,16261808128,16266063872,16262123520
9,16260517888,16266063872,16262123520
10,16260517888,16265191424,16260874240
11,16260517888,16265191424,16260435968
12,16260517888,16264617984,16260435968
13,16259629056,16264617984,16260435968
14,16259629056,16264617984,16259354624
15,16259629056,16263323648,16259354624
16,16258199552,16263323648,16258678784
17,16258199552,16263204864,16258678784
18,16257585152,16263147520,16258088960
19,16256794624,16263147520,16258088960
20,16256794624,16263147520,16258088960
21,16256753664,16261890048,16257208320
22,16261664768,16261013504,16257208320
23,16261369856,16260755456,16261910528
24,16261369856,16260575232,16261910528
25,16261173248,16260575232,16261910528
26,16260558848,16260575232,16261480448
27,16260558848,16260575232,16261480448
28,16260558848,16265146368,16261480448
29,16259678208,16265060352,16260075520
30,16258768896,16264654848,16259760128
31,16258768896,16264654848,16259760128
32,16258768896,16264654848,16258715648
33,16258273280,16263729152,16258629632
34,16257482752,16263438336,16258363392
35,16257482752,16262696960,16257548288
36,16256704512,16262696960,16257548288
37,16256704512,16262696960,16257548288
38,16255987712,16261746688,16256835584
39,16255987712,16261746688,16256086016
40,16255987712,16261181440,16256086016
41,16255238144,16261140480,16255737856
42,16255238144,16261140480,16255737856
43,16259956736,16261140480,16260370432
44,16259956736,16259948544,16260370432
45,16259956736,16259948544,16260370432
46,16258772992,16259743744,16260005888
47,16258772992,16265064448,16259067904
48,16258772992,16265064448,16258609152
49,16258772992,16264245248,16258514944
50,16257949696,16264245248,16258514944
51,16257949696,16264245248,16258514944
52,16256712704,16262914048,16256962560
53,16256364544,16262914048,16256962560
54,16256364544,16262762496,16256909312
55,16255307776,16262762496,16256278528
56,16255307776,16261754880,16256278528
57,16255307776,16261754880,16256278528
58,16255307776,16261754880,16255361024
59,16254693376,16261066752,16255361024
60,16254693376,16261066752,16255361024
61,16261677056,16259956736,16254193664
62,16261652480,16259895296,16262254592
63,16261652480,16259895296,16262254592
64,16260689920,16259203072,16262254592
65,16260386816,16258789376,16260976640
66,16260022272,16258789376,16260698112
67,16260022272,16258789376,16260698112
68,16260022272,16257294336,16260644864
69,16260022272,16257294336,16260644864
70,16258441216,16265682944,16259149824
71,16258441216,16265682944,16258998272
72,16258449408,16265682944,16258998272
73,16257794048,16265007104,16258338816
74,16257794048,16265007104,16258338816
75,16257794048,16264114176,16258338816
76,16256856064,16264093696,16257347584
77,16255778816,16264093696,16257347584
78,16255778816,16264093696,16256176128
79,16255778816,16262828032,16256061440
80,16260857856,16262828032,16256061440
81,16260509696,16261935104,16260804608
82,16260509696,16261935104,16260804608
83,16260509696,16261935104,16260804608
84,16260509696,16261935104,16260804608
85,16259280896,16261242880,16260055040
86,16258592768,16261242880,16259424256
87,16258301952,16261242880,16259424256
88,16258301952,16259940352,16259424256
89,16258289664,16258424832,16258691072
90,16258289664,16265244672,16258691072
91,16256622592,16264814592,16257265664
92,16256581632,16264462336,16257265664
93,16256581632,16264421376,16257056768
94,16256081920,16263606272,16256196608
95,16256081920,16263606272,16256196608
96,16256081920,16263606272,16255598592
97,16255025152,16263086080,16255598592
98,16259715072,16263086080,16255598592
99,16259715072,16261996544,16255598592
100,16259715072,16261996544,16259825664
101,16259715072,16261701632,16259825664
102,16258723840,16260669440,16259432448
103,16257978368,16260669440,16259432448
104,16257888256,16260325376,16258396160
105,16257888256,16260325376,16258396160
106,16257888256,16260325376,16257417216
107,16256483328,16259112960,16257171456
108,16256483328,16259112960,16257171456
109,16256212992,16259112960,16257171456
110,16255676416,16258916352,16256245760
111,16255676416,16263557120,16256245760
112,16254627840,16263557120,16256245760
113,16254627840,16263557120,16255397888
114,16254627840,16263159808,16254574592
115,16259248128,16262332416,16254115840
116,16259248128,16262332416,16254115840
117,16259100672,16262123520,16254115840
118,16259100672,16262123520,16253808640
119,16257904640,16262123520,16253808640
120,16257904640,16260907008,16253808640
121,16257904640,16260907008,16258269184
122,16257363968,16260907008,16258220032
123,16257363968,16260415488,16257212416
124,16256176128,16259436544,16256823296
125,16255893504,16259346432,16256688128
126,16255893504,16259346432,16256618496
127,16255852544,16259346432,16256618496
128,16254713856,16258248704,16255619072
129,16254713856,16258248704,16255619072
130,16254361600,16258248704,16255619072
131,16254361600,16258248704,16254967808
132,16254361600,16256368640,16254967808
133,16252932096,16262729728,16253480960
134,16252932096,16262479872,16253480960
135,16252719104,16262479872,16253480960
136,16257748992,16261881856,16253227008
137,16257748992,16261881856,16261373952
138,16260788224,16261025792,16261373952
139,16260734976,16261025792,16261373952
140,16260734976,16261025792,16261373952
141,16259637248,16259801088,16260292608
142,16259637248,16259698688,16260292608
143,16259637248,16259698688,16260292608
144,16258842624,16259551232,16259719168
145,16258842624,16258633728,16259719168
146,16258842624,16258633728,16258437120
147,16258842624,16258293760,16258437120
148,16257564672,16258293760,16258289664
149,16257564672,16257454080,16257363968
150,16257564672,16257454080,16257363968
151,16256049152,16257454080,16257363968
152,16256049152,16257454080,16256704512
153,16253849600,16260943872,16256704512
154,16253849600,16260943872,16256704512
155,16260435968,16260943872,16255234048
156,16260390912,16260943872,16255168512
157,16259629056,16264343552,16253845504
158,16259629056,16264343552,16253845504
159,16259629056,16263663616,16253845504
160,16258998272,16263663616,16259596288
161,16258998272,16263663616,16259596288
