stat_bytes_used,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,82169856,77516800,81571840
1,82169856,77516800,81571840
2,82169856,77516800,81571840
3,82169856,77516800,81571840
4,82169856,77516800,81571840
5,82169856,77516800,81571840
6,82169856,77516800,81571840
7,82345984,78090240,82030592
8,82345984,78090240,82030592
9,83636224,78090240,82030592
10,83636224,78962688,83279872
11,83636224,78962688,83718144
12,83636224,79536128,83718144
13,84525056,79536128,83718144
14,84525056,79536128,84799488
15,84525056,80830464,84799488
16,85954560,80830464,85475328
17,85954560,80949248,85475328
18,86568960,81006592,86065152
19,87359488,81006592,86065152
20,87359488,81006592,86065152
21,87400448,82264064,86945792
22,82489344,83140608,86945792
23,82784256,83398656,82243584
24,82784256,83578880,82243584
25,82980864,83578880,82243584
26,83595264,83578880,82673664
27,83595264,83578880,82673664
28,83595264,79007744,82673664
29,84475904,79093760,84078592
30,85385216,79499264,84393984
31,85385216,79499264,84393984
32,85385216,79499264,85438464
33,85880832,80424960,85524480
34,86671360,80715776,85790720
35,86671360,81457152,86605824
36,87449600,81457152,86605824
37,87449600,81457152,86605824
38,88166400,82407424,87318528
39,88166400,82407424,88068096
40,88166400,82972672,88068096
41,88915968,83013632,88416256
42,88915968,83013632,88416256
43,84197376,83013632,83783680
44,84197376,84205568,83783680
45,84197376,84205568,83783680
46,85381120,84410368,84148224
47,85381120,79089664,85086208
48,85381120,79089664,85544960
49,85381120,79908864,85639168
50,86204416,79908864,85639168
51,86204416,79908864,85639168
52,87441408,81240064,87191552
53,87789568,81240064,87191552
54,87789568,81391616,87244800
55,88846336,81391616,87875584
56,88846336,82399232,87875584
57,88846336,82399232,87875584
58,88846336,82399232,88793088
59,89460736,83087360,88793088
60,89460736,83087360,88793088
61,82477056,84197376,89960448
62,82501632,84258816,81899520
63,82501632,84258816,81899520
64,83464192,84951040,81899520
65,83767296,85364736,83177472
66,84131840,85364736,83456000
67,84131840,85364736,83456000
68,84131840,86859776,83509248
69,84131840,86859776,83509248
70,85712896,78471168,85004288
71,85712896,78471168,85155840
72,85704704,78471168,85155840
73,86360064,79147008,85815296
74,86360064,79147008,85815296
75,86360064,80039936,85815296
76,87298048,80060416,86806528
77,88375296,80060416,86806528
78,88375296,80060416,87977984
79,88375296,81326080,88092672
80,83296256,81326080,88092672
81,83644416,82219008,83349504
82,83644416,82219008,83349504
83,83644416,82219008,83349504
84,83644416,82219008,83349504
85,84873216,82911232,84099072
86,85561344,82911232,84729856
87,85852160,82911232,84729856
88,85852160,84213760,84729856
89,85864448,85729280,85463040
90,85864448,78909440,85463040
91,87531520,79339520,86888448
92,87572480,79691776,86888448
93,87572480,79732736,87097344
94,88072192,80547840,87957504
95,88072192,80547840,87957504
96,88072192,80547840,88555520
97,89128960,81068032,88555520
98,84439040,81068032,88555520
99,84439040,82157568,88555520
100,84439040,82157568,84328448
101,84439040,82452480,84328448
102,85430272,83484672,84721664
103,86175744,83484672,84721664
104,86265856,83828736,85757952
105,86265856,83828736,85757952
106,86265856,83828736,86736896
107,87670784,85041152,86982656
108,87670784,85041152,86982656
109,87941120,85041152,86982656
110,88477696,85237760,87908352
111,88477696,80596992,87908352
112,89526272,80596992,87908352
113,89526272,80596992,88756224
114,89526272,80994304,89579520
115,84905984,81821696,90038272
116,84905984,81821696,90038272
117,85053440,82030592,90038272
118,85053440,82030592,90345472
119,86249472,82030592,90345472
120,86249472,83247104,90345472
121,86249472,83247104,85884928
122,86790144,83247104,85934080
123,86790144,83738624,86941696
124,87977984,84717568,87330816
125,88260608,84807680,87465984
126,88260608,84807680,87535616
127,88301568,84807680,87535616
128,89440256,85905408,88535040
129,89440256,85905408,88535040
130,89792512,85905408,88535040
131,89792512,85905408,89186304
132,89792512,87785472,89186304
133,91222016,81424384,90673152
134,91222016,81674240,90673152
135,91435008,81674240,90673152
136,86405120,82272256,90927104
137,86405120,82272256,82780160
138,83365888,83128320,82780160
139,83419136,83128320,82780160
140,83419136,83128320,82780160
141,84516864,84353024,83861504
142,84516864,84455424,83861504
143,84516864,84455424,83861504
144,85311488,84602880,84434944
145,85311488,85520384,84434944
146,85311488,85520384,85716992
147,85311488,85860352,85716992
148,86589440,85860352,85864448
149,86589440,86700032,86790144
150,86589440,86700032,86790144
151,88104960,86700032,86790144
152,88104960,86700032,87449600
153,90304512,83210240,87449600
154,90304512,83210240,87449600
155,83718144,83210240,88920064
156,83763200,83210240,88985600
157,84525056,79810560,90308608
158,84525056,79810560,90308608
159,84525056,80490496,90308608
160,85155840,80490496,84557824
161,85155840,80490496,84557824
162,86437888,81559552,84557824
163,86437888,81559552,86011904
164,86437888,81907712,86011904
165,86437888,81907712,86081536
166,87597056,82747392,86081536
167,88252416,83398656,86081536
168,88252416,83398656,87547904
169,88715264,83398656,87547904
170,88715264,84389888,88633344
171,88715264,84389888,88633344
172,88715264,84389888,88633344
173,90095616,84389888,88633344
174,90095616,79998976,89886720
175,85495808,79998976,84738048
176,85495808,80232448,84738048
177,85495808,80232448,84738048
178,85864448,81108992,85229568
179,86896640,81428480,86228992
180,86896640,81428480,86228992
181,87318528,81428480,86540288
182,87318528,82616320,87252992
183,88551424,82616320,87252992
184,88551424,82616320,87990272
185,88551424,83083264,87990272
186,89341952,83894272,88231936
187,90050560,84013056,88231936
188,90292224,84013056,89612288
189,90292224,84013056,89612288
190,90292224,84664320,89612288
191,85737472,84664320,90923008
192,85737472,85794816,90923008
193,85737472,85794816,90923008
194,85737472,85794816,85618688
195,86736896,80928768,86462464
196,87453696,81477632,86462464
197,87453696,81477632,86462464
198,87453696,81477632,86462464
199,87453696,81899520,87048192
200,88645632,81899520,88088576
201,88645632,82817024,88088576
202,88645632,82833408,88088576
203,89743360,82833408,88846336
204,89743360,82833408,88846336
205,89743360,84213760,88846336
206,90877952,84213760,88846336
207,91713536,84312064,90071040
208,91713536,84312064,91553792
209,91713536,85745664,91553792
210,82710528,85745664,91553792
211,83566592,86540288,86884352
212,83566592,86540288,86884352
213,84340736,87465984,86884352
214,84340736,87465984,86884352
215,84340736,81489920,83783680
216,84340736,81489920,83783680
217,85757952,82644992,85176320
218,86237184,82644992,85176320
219,86237184,83030016,85385216
220,87564288,83030016,85385216
221,88006656,84656128,85385216
222,88018944,84656128,86962176
223,88018944,84656128,86962176
224,88645632,84770816,87506944
225,88645632,85917696,87506944
226,83824640,85917696,88768512
227,83824640,86224896,88768512
228,83927040,86224896,89489408
229,83927040,87412736,89489408
230,85524480,87412736,84631552
231,85524480,87412736,84668416
232,85676032,87797760,84668416
233,85676032,87797760,85852160
234,85676032,87797760,85852160
235,87236608,79405056,85852160
236,87236608,79745024,86757376
237,88358912,80048128,86757376
238,88764416,80048128,88182784
239,88965120,80920576,88182784
240,88965120,80920576,88182784
241,88965120,80920576,89407488
242,91443200,82411520,89407488
243,91443200,82411520,89407488
244,91443200,82501632,89948160
245,85803008,83156992,85000192
246,85803008,84156416,85000192
247,85803008,84152320,85803008
248,85803008,84164608,85803008
249,87687168,85131264,86290432
250,87687168,85131264,86290432
251,87687168,85131264,87662592
252,88485888,85131264,87662592
253,88485888,80175104,87662592
254,88485888,80175104,88858624
255,90177536,80175104,88858624
256,90177536,81399808,89411584
257,90456064,81465344,89411584
258,90456064,81465344,90472448
259,90456064,83013632,90472448
260,86183936,83013632,90472448
261,86519808,83095552,91262976
262,87388160,83095552,91262976
263,87502848,84434944,86847488
264,87502848,84586496,86847488
265,87998464,84586496,87015424
266,88555520,85209088,87015424
267,88555520,85209088,88453120
268,88555520,85209088,88453120
269,89886720,86196224,88453120
270,90521600,81313792,89280512
271,90521600,81313792,89280512
272,91422720,81776640,89280512
273,91422720,81920000,90304512
274,92180480,81920000,91164672
275,92180480,81920000,91389952
276,82952192,81920000,91389952
277,82964480,83255296,91996160
278,83849216,84045824,91996160
279,84316160,84045824,88817664
280,84316160,84045824,83582976
281,84316160,84045824,83599360
282,84733952,84779008,83709952
283,84733952,84779008,83709952
284,84733952,84779008,83709952
285,85377024,85413888,84377600
286,85377024,85413888,84377600
287,85377024,85413888,84377600
288,85377024,85413888,84377600
289,85377024,85413888,84377600
290,85377024,85413888,84377600
291,85377024,85413888,84377600
292,85377024,85413888,84377600
293,85377024,85413888,84377600
294,85377024,85413888,84377600
295,85377024,85413888,84377600
296,85377024,85413888,84377600
297,85377024,85413888,84377600
298,85377024,85413888,84377600
299,85377024,85413888,84377600
300,85377024,85413888,84377600
301,85377024,85413888,84377600
302,85377024,85413888,84377600
303,85377024,85413888,84377600
304,85377024,85413888,84377600
305,85377024,85413888,84377600
306,85377024,85413888,84377600
307,85377024,85413888,84377600
308,85377024,85413888,84377600
309,85377024,85413888,84377600
310,85377024,85413888,84377600
311,Null,85413888,Null
