subop_in_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,41973911,33578592,16796472
1,41973911,33578592,16796472
2,41973911,33578592,16796472
3,41973911,33578592,16796472
4,41973911,33578592,16796472
5,41973911,33578592,16796472
6,41973911,33578592,16798078
7,42816071,34169072,17113648
8,42825751,34183592,17147528
9,43953471,34769232,17360488
10,44481031,35393592,17679928
11,44747231,35742072,17878368
12,44747231,35742072,17941288
13,45177991,35790472,17946128
14,46112111,36792352,18430128
15,46504151,37131152,18570488
16,46581591,37266672,18623728
17,46581591,37295712,18623728
18,47762551,38316952,19093208
19,48193311,38602512,19296488
20,48222351,38602512,19335208
21,48256231,38675112,19344888
22,49563031,39589872,19828888
23,49867951,39943192,19964408
24,50008311,40059352,20061208
25,50177711,40257792,20080568
26,51140871,40964432,20511328
27,51678111,41225792,20651688
28,51929791,41550072,20801728
29,51949151,41554912,20811408
30,53405991,42682632,21188928
31,53691551,42914952,21343808
32,53764151,43050472,21401888
33,53831911,43060152,21445448
34,55003191,44023312,21852008
35,55482351,44395992,22050448
36,55588831,44454072,22103688
37,55845351,44458912,22113368
38,56847231,45320432,22524768
39,57224751,45717312,22616728
40,57350591,45838312,22728048
41,57408671,45857672,22766768
42,58763871,46699832,23207208
43,59257551,47072512,23434688
44,59547951,47299992,23623448
45,59547951,47299992,23657328
46,60709551,47967912,23802528
47,61164511,48568072,24204248
48,61575911,48882672,24339768
49,61575911,48882672,24359128
50,61929231,49110152,24388168
51,63187631,49986192,24877008
52,63628071,50484712,25148048
53,63724871,50523432,25186768
54,63724871,50523432,25186768
55,65278511,51472072,25709488
56,65583431,51839912,25946648
57,65825431,52096432,26024088
58,65864151,52096432,26033768
59,67233871,52691752,26353208
60,67446831,53233832,26633928
61,67829191,53591992,26837208
62,67901791,53591992,26875928
63,68206711,53742032,26904968
64,69286031,54545472,27340568
65,69702271,54927832,27456728
66,69828111,55102072,27553528
67,69828111,55102072,27577728
68,71023591,55828072,28042368
69,71425311,56326592,28202088
70,71710871,56704112,28342448
71,71710871,56704112,28386008
72,72398151,57100992,28410208
73,73128991,57889912,28942608
74,73540391,58228712,29126528
75,73598471,58291632,29126528
76,73937271,58373912,29155568
77,74934311,59327392,29644408
78,75316671,59564552,29799288
79,75316671,59583912,29799288
80,76095911,60029192,29963848
81,76686391,60634192,30413968
82,77189751,61064952,30515608
83,77252671,61161752,30597888
84,77286551,61161752,30597888
85,78573991,62163632,30956048
86,79024111,62507272,31130288
87,79295151,62754112,31338408
88,79309671,62754112,31338408
89,80456751,63397832,31473928
90,80897191,63901192,31807888
91,81274711,64269032,32006328
92,81303751,64269032,32006328
93,81811951,64404552,32064408
94,82644431,65367712,32524208
95,83113911,65638752,32722648
96,83138111,65721032,32746848
97,83636631,65774272,32746848
98,84822431,66722912,33327648
99,85306431,67318232,33637408
100,85359671,67318232,33651928
101,85369351,67366632,33666448
102,86860071,68392712,34102048
103,87194031,68736352,34295648
104,87223071,68760552,34334368
105,87494111,68818632,34353728
106,88834791,69839872,34818368
107,89226831,70188352,35026488
108,89323631,70188352,35055528
109,89381711,70227072,35079728
110,90867591,71248312,35665368
111,91317711,71824272,35868648
112,91375791,71824272,35897688
113,91429031,71858152,35921888
114,92890711,72937472,36488168
115,93093991,73097192,36623688
116,93234351,73155272,36657568
117,93316631,73208512,36662408
118,94589551,74074872,37127048
119,94884791,74374952,37238368
120,95044511,74583072,37349688
121,95107431,74583072,37349688
122,95630151,74849272,37494888
123,96540071,75672072,37954688
124,96956311,76170592,38085368
125,96990191,76248032,38153128
126,96990191,76248032,38153128
127,98045311,77235392,38424168
128,98568031,77554832,38743608
129,98790671,77743592,38913008
130,98814871,77743592,38913008
131,99463431,78082392,38985608
132,100295911,78890672,39488968
133,100649231,79205272,39672888
134,100712151,79205272,39672888
135,100818631,79234312,39692248
136,102265791,80279752,40205288
137,102580391,80773432,40394048
138,102619111,80797632,40394048
139,102696551,80841192,40418248
140,104061431,81843072,40863528
141,104506711,82210912,41023248
142,104608351,82327072,41153928
143,104700311,82375472,41153928
144,105334351,82670712,41226528
145,106210391,83449952,41647608
146,106408831,83667752,41754088
147,106466911,83754872,41773448
148,106791191,83774232,41812168
149,107880191,84829352,42291328
150,108267391,85114912,42436528
151,108301271,85148792,42494608
152,108359351,85182672,42509128
153,110159831,86344272,43133488
154,110280831,86576592,43273848
155,110469591,86716952,43351288
156,110469591,86775032,43390008
157,111669911,87655912,43782048
158,112090991,87859192,43869168
159,112303951,88072152,44024048
160,112332991,88154432,44033728
161,113697871,88730392,44333808
162,114046351,89398312,44595168
163,114457751,89587072,44793608
164,114457751,89640312,44793608
165,114704591,89698392,44812968
166,116011391,90758352,45432488
167,116461511,91242352,45601888
168,116534111,91271392,45630928
169,117313351,91934472,45761608
170,118121631,92321672,46221408
171,118518511,92684672,46419848
172,118542711,92723392,46453728
173,118876671,92825032,46526328
174,120033431,93831752,46957088
175,120294791,94097952,47087768
176,120294791,94097952,47126488
177,120357711,94136672,47141008
178,121625791,95099832,47649208
179,122080751,95525752,47833128
180,122119471,95598352,47876688
181,122196911,95733872,47896048
182,123290751,96663152,48307448
183,123677951,97001952,48399408
184,123769911,97016472,48544608
185,123827991,97079392,48544608
186,125062191,97979632,49033448
187,125526831,98429752,49270608
188,125676871,98512032,49357728
189,125676871,98541072,49357728
190,126761031,99344512,49812688
191,127380551,99726872,49948208
192,127719351,100118912,50122448
193,127719351,100118912,50122448
194,128285631,100477072,50219248
195,129195551,101280512,50616128
196,129563391,101648352,50785528
197,129640831,101682232,50809728
198,129684391,101716112,50814568
199,130657231,102398552,51138848
200,131242871,102892232,51351808
201,131421951,102989032,51448608
202,131436471,102993872,51482488
203,132612591,103913472,51830968
204,132888471,104194192,51976168
205,133319231,104441032,52145568
206,133382151,104499112,52164928
207,134872871,105481632,52508568
208,135303631,105863992,52968368
209,135434311,106043072,53065168
210,135540791,106105992,53074848
211,136789511,106952992,53495928
212,137157351,107194992,53592728
213,137621991,107678992,53829888
214,137621991,107678992,53829888
215,138047911,107935512,53965408
216,139383751,108922872,54347768
217,139959711,109310072,54657528
218,140022631,109353632,54657528
219,141305231,109832792,54764008
220,141653711,110655592,55335128
221,142166751,111076672,55494848
222,142166751,111076672,55548088
223,142195791,111076672,55572288
224,143797831,112180192,56186968
225,144301191,112639992,56419288
226,144344751,112639992,56477368
227,144383471,112688392,56477368
228,145574111,113670912,56854888
229,146145231,114096832,57154968
230,146285591,114266232,57222728
231,146324311,114266232,57237248
232,147543991,114929312,57692208
233,147737591,115369752,57755128
234,148139311,115911832,57977768
235,148139311,115911832,57977768
236,149300911,116482952,58437568
237,150002711,117315432,58723128
238,150273751,117479992,58834448
239,150297951,117523552,58834448
240,151503111,118491552,59352328
241,151740271,118704512,59453968
242,152204911,119086872,59657248
243,152204911,119086872,59666928
244,153269711,119415992,59720168
245,153903751,120495312,60238048
246,154523271,120901872,60421968
247,154523271,120901872,60446168
248,154523271,120906712,60446168
249,156047871,122058632,61017288
250,156677071,122426472,61133448
251,156730311,122494232,61249608
252,156749671,122532952,61249608
253,157920951,123578392,61646488
254,158637271,123965592,61864288
255,158787311,124125312,62014328
256,158787311,124168872,62043368
257,160229631,125035232,62498328
258,160670071,125398232,62754848
259,161125031,125945152,62948448
260,161197631,125945152,63011368
261,162339871,126487232,63243688
262,162823871,127179352,63558288
263,163133631,127334232,63679288
264,163273991,127460072,63747048
265,163709591,127498792,63785768
266,164813111,128578112,64284288
267,165611711,129047592,64565008
268,165640751,129076632,64584368
269,166047311,129313792,64666648
270,167044351,130339872,65170008
271,167683231,130693192,65397488
272,167760671,130843232,65436208
273,167780031,130867432,65503968
274,169096511,131849952,65944408
275,169435311,131941912,66186408
276,169677311,132222632,66268688
277,169677311,132237152,66292888
278,170950231,133229352,66675248
279,171477791,133606872,66907568
280,171574591,133824672,67009208
281,171642351,133829512,67062448
282,172469991,134507112,67391568
283,172469991,134507112,67392204
284,172469991,134507112,67392204
285,172469991,134507112,67392204
286,172469991,134507112,67392204
287,172469991,134507112,67392204
288,172469991,134507112,67392204
289,172469991,134507112,67392204
290,172469991,134507112,67392204
291,172469991,134507112,67392204
292,172469991,134507112,67392204
293,172469991,134507112,67392204
294,172469991,134507112,67392204
295,172469991,134507112,67392204
296,172469991,134507112,67392204
