subop_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0.026933
6,0.039202,0.028561,0.02711
7,0.745022,0.742968,0.212416
8,0.041226,0.052199,0.058437
9,0.06831,0.056229,0.039712
10,0.076998,0.093413,0.090161
11,0,0,0.898677
12,0.194051,1.675454,1.88165
13,0.033114,0.035736,0.036906
14,0.073301,0.077526,0.064978
15,0.317589,0.169462,0.1337
16,0,0.948489,0
17,0.055446,0.053292,0.090269
18,0.074488,0.078172,0.0637
19,0.620559,0,0.623368
20,0.236284,1.588551,0.338882
21,0.038767,0.028345,0.032665
22,0.207837,0.10125,0.156485
23,0.185552,0.321008,0.10564
24,0.370214,0.10451,1.356626
25,0.056285,0.029061,0.04017
26,0.104493,0.122762,0.170719
27,0.053112,0.128532,0.067573
28,0.369554,1.299342,0.855498
29,0.07238,0.056161,0.052216
30,0.097023,0.083176,0.061514
31,0.186367,0.217973,0.144727
32,0.534919,0.690549,0.876127
33,0.042439,0.057714,0.051122
34,0.104738,0.110617,0.079915
35,0.45822,0.43354,0.595559
36,0.187535,1.309882,1.327616
37,0.042683,0.029945,0.038796
38,0.096773,0.242443,0.235651
39,0.132183,0.118824,0.091517
40,1.482129,1.319908,1.678487
41,0.041117,0.047697,0.046101
42,0.066077,0.100497,0.090329
43,0.137168,0.127973,0.063741
44,0,0,1.143726
45,0.066379,0.127965,0.103537
46,0.099592,0.062372,0.043668
47,0.106667,0.099691,0.073037
48,0,0,1.431989
49,0.135799,0.27353,0.9696
50,0.048205,0.042472,0.034907
51,0.113627,0.101575,0.115131
52,0.104942,0.838063,0.037688
53,0,0,0
54,0.126299,0.039068,0.14838
55,0.083185,0.066013,0.058108
56,0.102568,0.196967,0.108665
57,1.183526,0,1.677297
58,0.057313,0.091602,0.043013
59,0.136461,0.048025,0.056267
60,0.092136,0.087058,0.097643
61,0.791637,0,0.807072
62,0.115468,0.295007,0.014237
63,0.043803,0.033647,0.033616
64,0.112964,0.075118,0.05854
65,0.176603,0.108431,0.101275
66,0,0,1.829216
67,0.092219,0.080212,0.091274
68,0.113373,0.072492,0.094694
69,0.089943,0.117226,0.077604
70,0,0,0.751595
71,0.180458,0.356497,0.099043
72,0.061707,0.045569,0.041963
73,0.116927,0.100485,0.085481
74,1.244971,0.77764,0
75,0.121806,0.293399,1.137655
76,0.035051,0.043267,0.055283
77,0.083788,0.084727,0.078242
78,0,0.007533,0
79,0.03255,0.030096,1.063188
80,0.088953,0.048036,0.047554
81,0.110703,0.093135,0.101008
82,0.082048,0.102445,0.156952
83,1.54141,0,0
84,0.067452,0.190747,0.071812
85,0.109486,0.084336,0.056485
86,0.081335,0.10726,0.118577
87,2.002356,0,0
88,0.066445,0.208485,0.232058
89,0.073339,0.056,0.034499
90,0.120611,0.145043,0.097381
91,0.461027,0,0
92,0.080131,0.443326,0.705756
93,0.044415,0.038639,0.029191
94,0.091133,0.098103,0.093663
95,1.430615,0.092105,0.136519
96,0.070256,0.049338,0
97,0.043417,0.038233,0.17932
98,0.072972,0.093751,0.085038
99,0.32003,0,0.291325
100,2.043566,1.738761,0.738413
101,0.051683,0.051521,0.038919
102,0.075406,0.085342,0.087657
103,0.486866,0.471087,0.162264
104,0.182009,0.397719,0.709181
105,0.040529,0.041443,0.067383
106,0.105286,0.094081,0.100132
107,0.043709,0,0.060416
108,2.185297,1.283305,1.634432
109,0.055055,0.037373,0.041994
110,0.095044,0.105986,0.08802
111,0.077051,0,0.06443
112,1.206524,2.021192,1.740125
113,0.051609,0.048608,0.033696
114,0.083382,0.099062,0.079453
115,0.17005,0.075822,0.09321
