subop_w,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,41,32,25
1,41,32,25
2,41,32,25
3,41,32,25
4,41,32,25
5,41,32,25
6,41,32,27
7,215,154,93
8,217,157,100
9,450,278,144
10,559,407,210
11,614,479,251
12,614,479,264
13,703,489,265
14,896,696,365
15,977,766,394
16,993,794,405
17,993,800,405
18,1237,1011,502
19,1326,1070,544
20,1332,1070,552
21,1339,1085,554
22,1609,1274,654
23,1672,1347,682
24,1701,1371,702
25,1736,1412,706
26,1935,1558,795
27,2046,1612,824
28,2098,1679,855
29,2102,1680,857
30,2403,1913,935
31,2462,1961,967
32,2477,1989,979
33,2491,1991,988
34,2733,2190,1072
35,2832,2267,1113
36,2854,2279,1124
37,2907,2280,1126
38,3114,2458,1211
39,3192,2540,1230
40,3218,2565,1253
41,3230,2569,1261
42,3510,2743,1352
43,3612,2820,1399
44,3672,2867,1438
45,3672,2867,1445
46,3912,3005,1475
47,4006,3129,1558
48,4091,3194,1586
49,4091,3194,1590
50,4164,3241,1596
51,4424,3422,1697
52,4515,3525,1753
53,4535,3533,1761
54,4535,3533,1761
55,4856,3729,1869
56,4919,3805,1918
57,4969,3858,1934
58,4977,3858,1936
59,5260,3981,2002
60,5304,4093,2060
61,5383,4167,2102
62,5398,4167,2110
63,5461,4198,2116
64,5684,4364,2206
65,5770,4443,2230
66,5796,4479,2250
67,5796,4479,2255
68,6043,4629,2351
69,6126,4732,2384
70,6185,4810,2413
71,6185,4810,2422
72,6327,4892,2427
73,6478,5055,2537
74,6563,5125,2575
75,6575,5138,2575
76,6645,5155,2581
77,6851,5352,2682
78,6930,5401,2714
79,6930,5405,2714
80,7091,5497,2748
81,7213,5622,2841
82,7317,5711,2862
83,7330,5731,2879
84,7337,5731,2879
85,7603,5938,2953
86,7696,6009,2989
87,7752,6060,3032
88,7755,6060,3032
89,7992,6193,3060
90,8083,6297,3129
91,8161,6373,3170
92,8167,6373,3170
93,8272,6401,3182
94,8444,6600,3277
95,8541,6656,3318
96,8546,6673,3323
97,8649,6684,3323
98,8894,6880,3443
99,8994,7003,3507
100,9005,7003,3510
101,9007,7013,3513
102,9315,7225,3603
103,9384,7296,3643
104,9390,7301,3651
105,9446,7313,3655
106,9723,7524,3751
107,9804,7596,3794
108,9824,7596,3800
109,9836,7604,3805
110,10143,7815,3926
111,10236,7934,3968
112,10248,7934,3974
113,10259,7941,3979
114,10561,8164,4096
115,10603,8197,4124
116,10632,8209,4131
117,10649,8220,4132
118,10912,8399,4228
119,10973,8461,4251
120,11006,8504,4274
121,11019,8504,4274
122,11127,8559,4304
123,11315,8729,4399
124,11401,8832,4426
125,11408,8848,4440
126,11408,8848,4440
127,11626,9052,4496
128,11734,9118,4562
129,11780,9157,4597
130,11785,9157,4597
131,11919,9227,4612
132,12091,9394,4716
133,12164,9459,4754
134,12177,9459,4754
135,12199,9465,4758
136,12498,9681,4864
137,12563,9783,4903
138,12571,9788,4903
139,12587,9797,4908
