tier_dirty,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,6,6,9
1,6,6,9
2,6,6,9
3,6,6,9
4,6,6,9
5,6,6,9
6,6,6,9
7,6,6,9
8,6,6,9
9,6,6,9
10,6,6,9
11,6,6,9
12,6,6,9
13,6,6,9
14,6,6,9
15,6,6,9
16,6,6,9
17,6,6,9
18,6,6,9
19,6,6,9
20,6,6,9
21,6,6,9
22,6,6,9
23,6,6,9
24,6,6,9
25,6,6,9
26,6,6,9
27,6,6,9
28,6,6,9
29,6,6,9
30,6,6,9
31,6,6,9
32,6,6,9
33,6,6,9
34,6,6,9
35,6,6,9
36,6,6,9
37,6,6,9
38,6,6,9
39,6,6,9
40,6,6,9
41,6,6,9
42,6,6,9
43,6,6,9
44,6,6,9
45,6,6,9
46,6,6,9
47,6,6,9
48,6,6,9
49,6,6,9
50,6,6,9
51,6,6,9
52,6,6,9
53,6,6,9
54,6,6,9
55,6,6,9
56,6,6,9
57,6,6,9
58,6,6,9
59,6,6,9
60,6,6,9
61,6,6,9
62,6,6,9
63,6,6,9
64,6,6,9
65,6,6,9
66,6,6,9
67,6,6,9
68,6,6,9
69,6,6,9
70,6,6,9
71,6,6,9
72,6,6,9
73,6,6,9
74,6,6,9
75,6,6,9
76,6,6,9
77,6,6,9
78,6,6,9
79,6,6,9
80,6,6,9
81,6,6,9
82,6,6,9
83,6,6,9
84,6,6,9
85,6,6,9
86,6,6,9
87,6,6,9
88,6,6,9
89,6,6,9
90,6,6,9
91,6,6,9
92,6,6,9
93,6,6,9
94,6,6,9
95,6,6,9
96,6,6,9
97,6,6,9
98,6,6,9
99,6,6,9
100,6,6,9
101,6,6,9
102,6,6,9
103,6,6,9
104,6,6,9
105,6,6,9
106,6,6,9
107,6,6,9
108,6,6,9
109,6,6,9
110,6,6,9
111,6,6,9
112,6,6,9
113,6,6,9
114,6,6,9
115,6,6,9
116,6,6,9
117,6,6,9
118,6,6,9
119,6,6,9
120,6,6,9
121,6,6,9
122,6,6,9
123,6,6,9
124,6,6,9
125,6,6,9
126,6,6,9
127,6,6,9
128,6,6,9
129,6,6,9
130,6,6,9
131,6,6,9
132,6,6,9
133,6,6,9
134,6,6,9
135,6,6,9
136,6,6,9
137,6,6,9
138,6,6,9
139,6,6,9
140,6,6,9
141,6,6,9
142,6,6,9
143,6,6,9
144,6,6,9
145,6,6,9
146,6,6,9
147,6,6,9
148,6,6,9
149,6,6,9
150,6,6,9
151,6,6,9
152,6,6,9
153,6,6,9
154,6,6,9
155,6,6,9
156,6,6,9
157,6,6,9
158,6,6,9
159,6,6,9
160,6,6,9
161,6,6,9
162,6,6,9
163,6,6,9
164,6,6,9
165,6,6,9
166,6,6,9
167,6,6,9
168,6,6,9
169,6,6,9
170,6,6,9
171,6,6,9
172,6,6,9
173,6,6,9
174,6,6,9
175,6,6,9
176,6,6,9
177,6,6,9
178,6,6,9
179,6,6,9
180,6,6,9
181,6,6,9
182,6,6,9
183,6,6,9
184,6,6,9
185,6,6,9
186,6,6,9
187,6,6,9
188,6,6,9
189,6,6,9
190,6,6,9
191,6,6,9
192,6,6,9
193,6,6,9
194,6,6,9
195,6,6,9
196,6,6,9
197,6,6,9
198,6,6,9
199,6,6,9
200,6,6,9
201,6,6,9
202,6,6,9
203,6,6,9
204,6,6,9
205,6,6,9
206,6,6,9
207,6,6,9
208,6,6,9
209,6,6,9
210,6,6,9
211,6,6,9
212,6,6,9
213,6,6,9
214,6,6,9
215,6,6,9
216,6,6,9
217,6,6,9
218,6,6,9
219,6,6,9
220,6,6,9
221,6,6,9
222,6,6,9
223,6,6,9
224,6,6,9
225,6,6,9
226,6,6,9
227,6,6,9
228,6,6,9
229,6,6,9
230,6,6,9
231,6,6,9
232,6,6,9
233,6,6,9
234,6,6,9
235,6,6,9
236,6,6,9
237,6,6,9
238,6,6,9
239,6,6,9
240,6,6,9
241,6,6,9
242,6,6,9
243,6,6,9
244,6,6,9
245,6,6,9
246,6,6,9
247,6,6,9
248,6,6,9
249,6,6,9
250,6,6,9
251,6,6,9
252,6,6,9
253,6,6,9
254,6,6,9
255,6,6,9
256,6,6,9
257,6,6,9
258,6,6,9
259,6,6,9
260,6,6,9
261,6,6,9
262,6,6,9
263,6,6,9
264,6,6,9
265,6,6,9
266,6,6,9
267,6,6,9
268,6,6,9
269,6,6,9
270,6,6,9
271,6,6,9
272,6,6,9
273,6,6,9
274,6,6,9
275,6,6,9
276,6,6,9
277,6,6,9
278,6,6,9
279,6,6,9
280,6,6,9
281,6,6,9
282,6,6,9
283,6,6,9
284,6,6,9
285,6,6,9
286,6,6,9
287,6,6,9
288,6,6,9
289,6,6,9
290,6,6,9
291,6,6,9
292,6,6,9
293,6,6,9
294,6,6,9
295,6,6,9
296,6,6,9
297,6,6,9
298,6,6,9
299,6,6,9
300,6,6,9
301,6,6,9
302,6,6,9
303,6,6,9
304,6,6,9
305,6,6,9
306,6,6,9
307,6,6,9
308,6,6,9
309,6,6,9
310,6,6,9
311,Null,6,Null
